epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,26.1724,2.41375,5.04597,4.65025,2.10237,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0031746,0.0031746,0.0714286
2,32.3168,2.7432,4.4525,4.04708,2.58871,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00644351,0.00644351,0.0413641
3,37.9481,2.60776,4.29793,3.76445,2.46454,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00964641,0.00964641,0.0112337
4,43.9922,2.50051,4.27078,3.63553,2.3996,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.009703,0.009703,0.009703
5,51.0813,2.39773,4.16374,3.54542,2.32363,0,4e-05,0.05179,4e-05,1e-05,0,0,0,0,nan,nan,nan,nan,0,0.009604,0.009604,0.009604
6,57.1368,2.36628,4.0266,3.43795,2.19207,0,0.18895,0.04722,0.01208,0.00326,0.05502,0.05318,0.01571,0.00427,3.17013,8.74368,11.1443,3.00234,0,0.009505,0.009505,0.009505
7,63.9165,2.32101,4.07983,3.31098,2.20125,0,0.01973,0.21874,0.00765,0.00432,0.14949,0.16777,0.00917,0.00401,3.00611,5.4758,43.1108,2.8823,0,0.009406,0.009406,0.009406
8,70.5035,2.28994,3.98891,3.27881,2.15922,0,0.18082,0.15311,0.02507,0.0082,0.04224,0.17777,0.02587,0.00632,2.91491,4.28716,61.3929,2.68825,0,0.009307,0.009307,0.009307
9,76.5617,2.26809,3.91367,3.22047,2.11546,0,0.51647,0.1054,0.06412,0.02813,0.51786,0.10926,0.06333,0.02767,2.75381,5.10561,12.9487,2.58945,0,0.009208,0.009208,0.009208
10,82.7449,2.22592,3.85308,3.15825,2.06461,0,0.37025,0.24779,0.21153,0.08195,0.36124,0.22934,0.20072,0.07788,2.86151,4.55942,20.0139,2.65666,0,0.009109,0.009109,0.009109
11,88.8327,2.16558,3.81372,3.05824,2.05044,0,0.55537,0.15237,0.15883,0.05699,0.71582,0.15786,0.16936,0.04956,2.75273,4.43413,10.536,2.51984,0,0.00901,0.00901,0.00901
12,94.8985,2.163,3.79541,3.04925,2.07514,0,0.24795,0.2043,0.15129,0.04983,0.25365,0.20561,0.14816,0.0511,2.53383,3.83342,6.87219,2.35862,0,0.008911,0.008911,0.008911
13,101.537,2.10642,3.67966,2.97631,2.01094,0,0.31754,0.20416,0.1928,0.07282,0.31829,0.19696,0.18298,0.07214,2.39362,4.0538,6.85367,2.16912,0,0.008812,0.008812,0.008812
14,107.654,2.10134,3.64442,2.93428,2.00061,0,0.70588,0.14256,0.18529,0.07075,0.30066,0.16456,0.12557,0.0539,2.50714,4.31279,3.73111,2.17489,0,0.008713,0.008713,0.008713
15,113.986,2.11127,3.69855,2.96688,1.99249,0,0.4681,0.11298,0.09534,0.05086,0.46716,0.10473,0.09769,0.04731,2.57423,4.51329,4.65665,2.25082,0,0.008614,0.008614,0.008614
16,120.256,2.04835,3.54362,2.88372,1.96978,0,0.20339,0.3991,0.24079,0.0877,0.19774,0.35954,0.22955,0.0896,2.40832,4.14605,9.59166,2.21992,0,0.008515,0.008515,0.008515
17,126.479,2.0468,3.5994,2.93385,1.93368,0,0.30856,0.3078,0.20582,0.09621,0.35239,0.26037,0.20349,0.10676,2.5446,4.2652,7.64575,2.31293,0,0.008416,0.008416,0.008416
18,133.289,2.06829,3.66562,2.90493,1.98741,0,0.38679,0.21648,0.1874,0.08767,0.37114,0.19912,0.17389,0.08613,2.3091,3.60821,4.43041,2.08172,0,0.008317,0.008317,0.008317
19,139.464,2.01864,3.5656,2.80233,1.91679,0,0.17118,0.32974,0.22557,0.10601,0.15526,0.29204,0.2035,0.10897,2.33146,3.8135,6.94703,2.08784,0,0.008218,0.008218,0.008218
20,145.648,2.02457,3.56682,2.78638,1.92741,0,0.85377,0.14313,0.25109,0.1152,0.85575,0.1385,0.24456,0.11428,2.29998,3.88935,4.39951,2.05324,0,0.008119,0.008119,0.008119
21,152.005,2.00516,3.51386,2.71788,1.8717,0,0.35355,0.2969,0.25514,0.11729,0.34496,0.28919,0.25402,0.11444,2.36501,3.49583,4.98037,2.13296,0,0.00802,0.00802,0.00802
22,158.197,1.97464,3.48786,2.71972,1.8774,0,0.4161,0.11368,0.10104,0.04865,0.85205,0.07674,0.10437,0.04948,2.61808,3.92739,4.24387,2.31259,0,0.007921,0.007921,0.007921
23,164.193,1.93162,3.41313,2.59486,1.81417,0,0.39178,0.30132,0.27678,0.13123,0.36444,0.29008,0.26163,0.11331,2.1714,3.34312,3.51856,1.98751,0,0.007822,0.007822,0.007822
24,170.688,1.9113,3.39348,2.60558,1.82288,0,0.73697,0.21234,0.3427,0.20172,0.73366,0.20848,0.33364,0.1766,2.3006,3.39469,3.17879,2.01979,0,0.007723,0.007723,0.007723
25,176.842,1.93504,3.40842,2.62643,1.8211,0,0.4076,0.33472,0.27372,0.13621,0.404,0.30818,0.26918,0.12493,2.33415,3.72401,3.92243,2.08952,0,0.007624,0.007624,0.007624
26,183.079,1.90392,3.38718,2.62362,1.81215,0,0.35093,0.23801,0.28169,0.11784,0.34558,0.19568,0.26302,0.14326,2.12408,3.66612,3.384,1.90958,0,0.007525,0.007525,0.007525
27,189.137,1.9072,3.37191,2.59215,1.81704,0,0.41033,0.23394,0.28685,0.12474,0.48788,0.18588,0.27375,0.14175,2.27199,3.34709,3.06231,1.98308,0,0.007426,0.007426,0.007426
