epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,26.8756,2.42265,5.05269,4.62786,2.10578,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0031746,0.0031746,0.0714286
2,33.1161,2.77869,4.40402,4.0386,2.56865,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00644351,0.00644351,0.0413641
3,38.8284,2.60518,4.21802,3.73604,2.45538,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00964641,0.00964641,0.0112337
4,45.5212,2.54421,4.20286,3.56418,2.44823,0,0,0,0,0,0.14287,0.00446,1e-05,0,nan,nan,nan,nan,0,0.009703,0.009703,0.009703
5,52.5892,2.43053,4.07072,3.49451,2.38351,0,1e-05,0.02857,1e-05,0,0,0,0,0,nan,nan,nan,nan,0,0.009604,0.009604,0.009604
6,59.1105,2.34724,3.91427,3.33571,2.22849,0,4e-05,0.01024,1e-05,0,2e-05,0.00623,0,0,nan,nan,nan,nan,0,0.009505,0.009505,0.009505
7,66.1417,2.33772,4.05353,3.32896,2.25782,0,0.4288,0.05625,0.00082,0.00184,0.42878,0.01339,3e-05,1e-05,4.28597,40.6739,5558.88,8.56059,0,0.009406,0.009406,0.009406
8,72.2934,2.30979,3.9751,3.25711,2.19876,0,0.67495,0.01339,0.01486,0.00223,0.30338,0.01786,0.00884,0.00169,3.50381,5.61301,6.79384,4.10141,0,0.009307,0.009307,0.009307
9,78.563,2.23472,3.828,3.17074,2.14022,0,0.60648,0.05982,0.0376,0.01618,0.60353,0.03125,0.037,0.00987,3.362,19.457,88.5974,4.47427,0,0.009208,0.009208,0.009208
10,84.6321,2.24047,3.77858,3.12104,2.10795,0,0.33167,0.18262,0.13733,0.04648,0.24126,0.15482,0.07848,0.02017,2.68212,4.27693,5.51307,2.51527,0,0.009109,0.009109,0.009109
11,90.6614,2.15619,3.79348,2.97796,2.02384,0,0.54035,0.05453,0.05825,0.02432,0.60326,0.06878,0.0775,0.02476,2.68691,5.30237,4.73936,2.98064,0,0.00901,0.00901,0.00901
12,97.0804,2.15815,3.73999,3.03546,2.07573,0,0.58535,0.18782,0.19914,0.07324,0.58651,0.1878,0.19531,0.06383,2.82789,6.08297,6.81477,2.76374,0,0.008911,0.008911,0.008911
