epoch,steps,processed_samples,loss,focal_loss,dice_loss,feature_mean,feature_std,p3_feature_std,p4_feature_std,p5_feature_std,logit_std,probability_mean,prediction_iou,prediction_precision,prediction_recall,target_positive_ratio,learning_rate,texture_transplant_count,photometric_count,blur_count,all_metrics_finite,epoch_wall_seconds,cuda_max_memory_allocated_bytes,collapse_threshold_breached,collapse_consecutive_epochs
1,41,656,0.6016179068786341,0.006489249264321676,0.5951286583411984,-0.04105480505925853,0.2288368741671244,0.18870588192125645,0.27648166548915026,0.22132307509096658,1.0771564128922253,0.052145178134484986,0.5731893437343486,0.664824876328991,0.8069950252475064,0.006949448004001524,0.001,430,432,420,True,7.9545824667438865,3334347776,False,0
2,41,656,0.17113971019663463,0.002549813401590033,0.16858989727206347,-0.038992468055670824,0.2331657767053542,0.18708467374487622,0.2792777833415241,0.23313487302966235,1.9045483426349918,0.007528950982704395,0.8029842956989178,0.9061035172116402,0.8774154520041973,0.0069795934165396345,0.0009972609476841367,440,428,447,True,5.72672214359045,3334347776,False,0
3,41,656,0.09497384599796156,0.0020381630094517475,0.09293568279685044,-0.038503840717116024,0.23284168141644176,0.1879624052018654,0.3009031000660687,0.20965953898139117,2.331190298243267,0.007006966815579955,0.860698111924577,0.9400723667183137,0.9111892570292507,0.007001179020579268,0.0009890738003669028,462,430,422,True,5.679788705892861,3334347776,False,0
4,41,656,0.08100751487583649,0.0020310824833492318,0.07897643199781092,-0.038720613814950955,0.2317534414975624,0.18464216880682038,0.2944240119399094,0.21619414374595736,2.6449922759358477,0.007081429780710761,0.8768695111932889,0.9480831767322836,0.9214312007655483,0.0071653040443978655,0.0009755282581475768,444,453,425,True,5.57074186950922,3334347776,False,0
5,41,656,0.07878230475797886,0.002186288969114241,0.07659601583713438,-0.037544274081786476,0.24235501752151703,0.19167963215490666,0.31126448657454514,0.22412093383509937,2.944971404424528,0.0069372442142083875,0.8755459049642278,0.9498721825760363,0.9182666561815379,0.007062958508003049,0.0009567727288213003,436,428,468,True,5.604733434505761,3334347776,False,0
6,41,656,0.06271088623055597,0.0015979431819443295,0.061112943218975535,-0.03748085607236963,0.24360712102758203,0.19344746412300481,0.3127241403591342,0.22464975860060715,3.060767982064224,0.006761681526990198,0.901405147258785,0.9569495252895666,0.9397994775990228,0.006813979730373476,0.0009330127018922195,439,389,434,True,6.01169690489769,3334347776,False,0
7,41,656,0.056634732226773,0.0017767324773935464,0.05485799981326592,-0.03838541431397927,0.24479423233164038,0.19406526953708836,0.31811299411261956,0.22220443334521317,3.2312929106921686,0.006836234353391863,0.9051737617091236,0.9637127669167511,0.9374448008886428,0.006972522270388719,0.0009045084971874739,422,436,442,True,5.545587639324367,3334347776,False,0
8,41,656,0.05040447977257938,0.0013543112720249266,0.04905016829327839,-0.03740155318282484,0.256847072786432,0.19497456528791568,0.33861157298088074,0.2369550800904995,3.4530462811632856,0.006836702956295595,0.9159646406491514,0.963851134329611,0.9487035963658212,0.006899577815358232,0.0008715724127386972,437,436,442,True,6.178790365345776,3334347776,False,0
9,41,656,0.049063004371596546,0.0015043101767532345,0.047558694351010206,-0.037664501041900826,0.25859481605087836,0.19320350122161029,0.3429062759003988,0.23967467103062606,3.5753676833176034,0.006930884439498186,0.9223237256546142,0.9690132277068695,0.9504820018848424,0.0070343017578125,0.0008345653031794292,472,441,422,True,5.542562073096633,3334347776,False,0
10,41,656,0.045060879619019785,0.0014126775772083642,0.043648202244828384,-0.03557022188494845,0.25776687664229697,0.19165622134034227,0.3406655388634379,0.24097886972311067,3.7213678476287098,0.006984693293527859,0.922928261989081,0.9664885287014353,0.9536289975504276,0.007059609017721037,0.0007938926261462366,437,463,426,True,5.435570994392037,3334347776,False,0
11,41,656,0.045259811756450954,0.0014840206457869855,0.043775791075171495,-0.03554716467009327,0.255642743251188,0.19259698543606735,0.32582839233119315,0.24850285198630356,3.828531084991083,0.007030097904001794,0.9214239094159672,0.9659886224798058,0.9525676121205356,0.007105385384908537,0.00075,452,467,397,True,5.552128058858216,3334347776,False,0
12,41,656,0.042702423045184554,0.0015555412342442517,0.04114688169665453,-0.035173085980056744,0.2529973649397129,0.19359866002710854,0.3176841590462661,0.247709275745764,3.9947705094407246,0.007125813389060701,0.9295861113072333,0.9731546088573556,0.9540062564138947,0.007245691811166159,0.0007033683215379003,436,449,450,True,5.602022812701762,3334347776,False,0
13,41,656,0.03822571416271896,0.0012202200141917096,0.03700549428055926,-0.035986384482887705,0.25341325113928415,0.1940223251174136,0.31893892041066796,0.24727850788977088,3.911503437088757,0.006852903119401961,0.9348067638732976,0.974100686627314,0.9586817726547785,0.006943865520198171,0.0006545084971874739,413,436,441,True,5.387794893234968,3334347776,False,0
14,41,656,0.037769210138698904,0.0012263716312079895,0.036542838666497206,-0.036697678116521214,0.2562330068369222,0.19352938416527538,0.3195852528258068,0.2555843835196844,4.0987434736112265,0.006996302842730429,0.9341441471545724,0.971249980708071,0.9609012247987755,0.00704918838128811,0.0006039558454088797,409,456,458,True,5.325532426126301,3334347776,False,0
15,41,656,0.03729780533964314,0.0012956125592165513,0.036002192555404294,-0.0365450158412379,0.2596827357765135,0.1943954389269759,0.32263126387828733,0.26202150452427747,4.07094157614359,0.006945001245362729,0.9368486887468146,0.9748021014200641,0.9601499019436934,0.00703392959222561,0.0005522642316338269,443,421,458,True,5.787842980585992,3334347776,False,0
16,41,656,0.03642309079991608,0.001247623512271519,0.03517546740973868,-0.03716200057083999,0.2611878760219589,0.1951304514233659,0.32521059818384124,0.2632225784586697,4.296081699976107,0.007103310807085619,0.9371676492152857,0.9750759813166607,0.960337142498984,0.007192844297827744,0.0005000000000000002,468,432,452,True,6.0426903665065765,3334347776,False,0
