epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,31.6579,2.9506,5.2964,4.86705,2.44602,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0031746,0.0031746,0.0714286
2,38.0344,2.8551,4.52613,4.12748,2.62136,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00644351,0.00644351,0.0413641
3,44.5065,2.70959,4.35691,3.83269,2.5524,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00964641,0.00964641,0.0112337
4,50.9236,2.60021,4.31906,3.69123,2.45241,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.009703,0.009703,0.009703
5,58.5808,2.51407,4.23578,3.61769,2.37583,0,0,0,0,0,0.14288,0.00386,0,0,nan,nan,nan,nan,0,0.009604,0.009604,0.009604
6,65.5592,2.44256,4.08869,3.49422,2.31436,0,0.00117,0.01516,0.00025,6e-05,0.57198,0.00446,0.00017,3e-05,nan,nan,nan,nan,0,0.009505,0.009505,0.009505
7,71.7494,2.37642,4.15141,3.45402,2.26842,0,0.72759,0.01339,0.00955,0.0041,0.72759,0.01339,0.00908,0.00216,nan,nan,nan,nan,0,0.009406,0.009406,0.009406
8,78.3427,2.36074,4.05548,3.35495,2.19646,0,0.56981,0.06354,0.05473,0.01776,0.18535,0.1048,0.03493,0.00942,2.74985,4.32505,10.3722,2.51914,0,0.009307,0.009307,0.009307
9,84.6874,2.28806,3.92178,3.26108,2.1303,0,0.40402,0.148,0.05939,0.02168,0.39774,0.12438,0.0462,0.01324,2.87824,5.14456,18.3484,2.68844,0,0.009208,0.009208,0.009208
10,91.0384,2.2777,3.93152,3.23512,2.11174,0,0.34294,0.09333,0.03187,0.00891,0.34344,0.07041,0.02943,0.00687,2.93221,4.44432,20.2798,2.73821,0,0.009109,0.009109,0.009109
11,98.2673,2.20064,3.9226,3.08932,2.05088,0,0.20213,0.16832,0.12091,0.03887,0.4652,0.08198,0.06893,0.02787,2.47087,4.01105,5.12488,2.25229,0,0.00901,0.00901,0.00901
12,104.815,2.19508,3.84736,3.11812,2.08115,0,0.16955,0.29099,0.16717,0.08111,0.11021,0.25872,0.14254,0.06262,2.57425,3.88538,6.902,2.37641,0,0.008911,0.008911,0.008911
13,111.207,2.17563,3.74778,3.03281,2.05783,0,0.77354,0.07309,0.09345,0.03777,0.79593,0.08102,0.08671,0.0394,2.60036,4.65759,8.71483,2.34345,0,0.008812,0.008812,0.008812
14,117.451,2.12281,3.69987,2.97635,1.96901,0,0.49758,0.17697,0.16033,0.07551,0.52098,0.16156,0.14052,0.05363,2.26621,4.26343,3.57763,2.08856,0,0.008713,0.008713,0.008713
15,123.682,2.13105,3.74582,3.00408,1.98021,0,0.8506,0.15639,0.17567,0.08489,0.8453,0.15253,0.20896,0.07462,2.29102,4.39315,3.66222,2.05408,0,0.008614,0.008614,0.008614
