diag_id,class,source_id,source_image_path,original_mask_path,mask_strategy,inpaint_mask_path,mask_dilation_px,prompt_id,prompt_text,strength,seed,model_name,model_revision,inference_width,inference_height,num_inference_steps,guidance_scale,output_path,status,failure_reason,parent_quality_failed_run
crack_260_mask_A_s055_v1,Crack,260,results/exp13_diffusion_diagnosis/r2_20260921_135903/crack/inputs/crack_260.png,results/exp13_diffusion_diagnosis/r2_20260921_135903/masks/original/crack_260_mask.png,mask_A,results/exp13_diffusion_diagnosis/r2_20260921_135903/masks/inpaint_A/crack_260_mask.png,3 (R1),crack_prompt_v1,"A realistic thin industrial crack or fracture on a metallic engine interior surface, appearing as a narrow dark fracture line with thin linear or slightly curved morphology and optional subtle branching, irregular but natural sharp boundaries, preserving the original metallic surface texture, component geometry, and realistic borescope illumination. Preserve the surrounding structure. Do not create a scratch, paint mark, or stain.",0.55,17001,aiplayground/dreamshaper-8-inpainting,master,512,512,20,7.5,results/exp13_diffusion_diagnosis/r2_20260921_135903/crack/outputs/crack_260_mask_A_s055_v1.png,SUCCESS,,run_20260921_124440
crack_260_mask_A_s055_v2,Crack,260,results/exp13_diffusion_diagnosis/r2_20260921_135903/crack/inputs/crack_260.png,results/exp13_diffusion_diagnosis/r2_20260921_135903/masks/original/crack_260_mask.png,mask_A,results/exp13_diffusion_diagnosis/r2_20260921_135903/masks/inpaint_A/crack_260_mask.png,3 (R1),crack_prompt_v2,"Generate a clearly visible realistic crack on the metallic engine interior surface. Keep the defect as a crack or fracture, not a repaired clean surface. Make it a thin dark fracture line with natural irregular boundaries while preserving the surrounding geometry and borescope illumination.",0.55,17001,aiplayground/dreamshaper-8-inpainting,master,512,512,20,7.5,results/exp13_diffusion_diagnosis/r2_20260921_135903/crack/outputs/crack_260_mask_A_s055_v2.png,SUCCESS,,run_20260921_124440
crack_260_mask_A_s075_v1,Crack,260,results/exp13_diffusion_diagnosis/r2_20260921_135903/crack/inputs/crack_260.png,results/exp13_diffusion_diagnosis/r2_20260921_135903/masks/original/crack_260_mask.png,mask_A,results/exp13_diffusion_diagnosis/r2_20260921_135903/masks/inpaint_A/crack_260_mask.png,3 (R1),crack_prompt_v1,"A realistic thin industrial crack or fracture on a metallic engine interior surface, appearing as a narrow dark fracture line with thin linear or slightly curved morphology and optional subtle branching, irregular but natural sharp boundaries, preserving the original metallic surface texture, component geometry, and realistic borescope illumination. Preserve the surrounding structure. Do not create a scratch, paint mark, or stain.",0.75,17001,aiplayground/dreamshaper-8-inpainting,master,512,512,20,7.5,results/exp13_diffusion_diagnosis/r2_20260921_135903/crack/outputs/crack_260_mask_A_s075_v1.png,SUCCESS,,run_20260921_124440
crack_260_mask_A_s075_v2,Crack,260,results/exp13_diffusion_diagnosis/r2_20260921_135903/crack/inputs/crack_260.png,results/exp13_diffusion_diagnosis/r2_20260921_135903/masks/original/crack_260_mask.png,mask_A,results/exp13_diffusion_diagnosis/r2_20260921_135903/masks/inpaint_A/crack_260_mask.png,3 (R1),crack_prompt_v2,"Generate a clearly visible realistic crack on the metallic engine interior surface. Keep the defect as a crack or fracture, not a repaired clean surface. Make it a thin dark fracture line with natural irregular boundaries while preserving the surrounding geometry and borescope illumination.",0.75,17001,aiplayground/dreamshaper-8-inpainting,master,512,512,20,7.5,results/exp13_diffusion_diagnosis/r2_20260921_135903/crack/outputs/crack_260_mask_A_s075_v2.png,SUCCESS,,run_20260921_124440
crack_260_mask_A_s095_v1,Crack,260,results/exp13_diffusion_diagnosis/r2_20260921_135903/crack/inputs/crack_260.png,results/exp13_diffusion_diagnosis/r2_20260921_135903/masks/original/crack_260_mask.png,mask_A,results/exp13_diffusion_diagnosis/r2_20260921_135903/masks/inpaint_A/crack_260_mask.png,3 (R1),crack_prompt_v1,"A realistic thin industrial crack or fracture on a metallic engine interior surface, appearing as a narrow dark fracture line with thin linear or slightly curved morphology and optional subtle branching, irregular but natural sharp boundaries, preserving the original metallic surface texture, component geometry, and realistic borescope illumination. Preserve the surrounding structure. Do not create a scratch, paint mark, or stain.",0.95,17001,aiplayground/dreamshaper-8-inpainting,master,512,512,20,7.5,results/exp13_diffusion_diagnosis/r2_20260921_135903/crack/outputs/crack_260_mask_A_s095_v1.png,SUCCESS,,run_20260921_124440
crack_260_mask_A_s095_v2,Crack,260,results/exp13_diffusion_diagnosis/r2_20260921_135903/crack/inputs/crack_260.png,results/exp13_diffusion_diagnosis/r2_20260921_135903/masks/original/crack_260_mask.png,mask_A,results/exp13_diffusion_diagnosis/r2_20260921_135903/masks/inpaint_A/crack_260_mask.png,3 (R1),crack_prompt_v2,"Generate a clearly visible realistic crack on the metallic engine interior surface. Keep the defect as a crack or fracture, not a repaired clean surface. Make it a thin dark fracture line with natural irregular boundaries while preserving the surrounding geometry and borescope illumination.",0.95,17001,aiplayground/dreamshaper-8-inpainting,master,512,512,20,7.5,results/exp13_diffusion_diagnosis/r2_20260921_135903/crack/outputs/crack_260_mask_A_s095_v2.png,SUCCESS,,run_20260921_124440
crack_260_mask_B_s055_v1,Crack,260,results/exp13_diffusion_diagnosis/r2_20260921_135903/crack/inputs/crack_260.png,results/exp13_diffusion_diagnosis/r2_20260921_135903/masks/original/crack_260_mask.png,mask_B,results/exp13_diffusion_diagnosis/r2_20260921_135903/masks/inpaint_B/crack_260_mask.png,5,crack_prompt_v1,"A realistic thin industrial crack or fracture on a metallic engine interior surface, appearing as a narrow dark fracture line with thin linear or slightly curved morphology and optional subtle branching, irregular but natural sharp boundaries, preserving the original metallic surface texture, component geometry, and realistic borescope illumination. Preserve the surrounding structure. Do not create a scratch, paint mark, or stain.",0.55,17001,aiplayground/dreamshaper-8-inpainting,master,512,512,20,7.5,results/exp13_diffusion_diagnosis/r2_20260921_135903/crack/outputs/crack_260_mask_B_s055_v1.png,SUCCESS,,run_20260921_124440
crack_260_mask_B_s055_v2,Crack,260,results/exp13_diffusion_diagnosis/r2_20260921_135903/crack/inputs/crack_260.png,results/exp13_diffusion_diagnosis/r2_20260921_135903/masks/original/crack_260_mask.png,mask_B,results/exp13_diffusion_diagnosis/r2_20260921_135903/masks/inpaint_B/crack_260_mask.png,5,crack_prompt_v2,"Generate a clearly visible realistic crack on the metallic engine interior surface. Keep the defect as a crack or fracture, not a repaired clean surface. Make it a thin dark fracture line with natural irregular boundaries while preserving the surrounding geometry and borescope illumination.",0.55,17001,aiplayground/dreamshaper-8-inpainting,master,512,512,20,7.5,results/exp13_diffusion_diagnosis/r2_20260921_135903/crack/outputs/crack_260_mask_B_s055_v2.png,SUCCESS,,run_20260921_124440
crack_260_mask_B_s075_v1,Crack,260,results/exp13_diffusion_diagnosis/r2_20260921_135903/crack/inputs/crack_260.png,results/exp13_diffusion_diagnosis/r2_20260921_135903/masks/original/crack_260_mask.png,mask_B,results/exp13_diffusion_diagnosis/r2_20260921_135903/masks/inpaint_B/crack_260_mask.png,5,crack_prompt_v1,"A realistic thin industrial crack or fracture on a metallic engine interior surface, appearing as a narrow dark fracture line with thin linear or slightly curved morphology and optional subtle branching, irregular but natural sharp boundaries, preserving the original metallic surface texture, component geometry, and realistic borescope illumination. Preserve the surrounding structure. Do not create a scratch, paint mark, or stain.",0.75,17001,aiplayground/dreamshaper-8-inpainting,master,512,512,20,7.5,results/exp13_diffusion_diagnosis/r2_20260921_135903/crack/outputs/crack_260_mask_B_s075_v1.png,SUCCESS,,run_20260921_124440
crack_260_mask_B_s075_v2,Crack,260,results/exp13_diffusion_diagnosis/r2_20260921_135903/crack/inputs/crack_260.png,results/exp13_diffusion_diagnosis/r2_20260921_135903/masks/original/crack_260_mask.png,mask_B,results/exp13_diffusion_diagnosis/r2_20260921_135903/masks/inpaint_B/crack_260_mask.png,5,crack_prompt_v2,"Generate a clearly visible realistic crack on the metallic engine interior surface. Keep the defect as a crack or fracture, not a repaired clean surface. Make it a thin dark fracture line with natural irregular boundaries while preserving the surrounding geometry and borescope illumination.",0.75,17001,aiplayground/dreamshaper-8-inpainting,master,512,512,20,7.5,results/exp13_diffusion_diagnosis/r2_20260921_135903/crack/outputs/crack_260_mask_B_s075_v2.png,SUCCESS,,run_20260921_124440
