diag_id,class,source_id,mask_strategy,prompt_id,strength,background_preservation,defect_visibility,class_consistency,boundary_naturalness,hallucination_present,restoration_tendency,overall_better_than_r1,comment
crack_260_mask_A_s055_v1,Crack,260,mask_A,crack_prompt_v1,0.55,,,,,,,,
crack_260_mask_A_s055_v2,Crack,260,mask_A,crack_prompt_v2,0.55,,,,,,,,
crack_260_mask_A_s075_v1,Crack,260,mask_A,crack_prompt_v1,0.75,,,,,,,,
crack_260_mask_A_s075_v2,Crack,260,mask_A,crack_prompt_v2,0.75,,,,,,,,
crack_260_mask_A_s095_v1,Crack,260,mask_A,crack_prompt_v1,0.95,,,,,,,,
crack_260_mask_A_s095_v2,Crack,260,mask_A,crack_prompt_v2,0.95,,,,,,,,
crack_260_mask_B_s055_v1,Crack,260,mask_B,crack_prompt_v1,0.55,,,,,,,,
crack_260_mask_B_s055_v2,Crack,260,mask_B,crack_prompt_v2,0.55,,,,,,,,
crack_260_mask_B_s075_v1,Crack,260,mask_B,crack_prompt_v1,0.75,,,,,,,,
crack_260_mask_B_s075_v2,Crack,260,mask_B,crack_prompt_v2,0.75,,,,,,,,
crack_260_mask_B_s095_v1,Crack,260,mask_B,crack_prompt_v1,0.95,,,,,,,,
crack_260_mask_B_s095_v2,Crack,260,mask_B,crack_prompt_v2,0.95,,,,,,,,
crack_469_mask_A_s055_v1,Crack,469,mask_A,crack_prompt_v1,0.55,,,,,,,,
crack_469_mask_A_s055_v2,Crack,469,mask_A,crack_prompt_v2,0.55,,,,,,,,
crack_469_mask_A_s075_v1,Crack,469,mask_A,crack_prompt_v1,0.75,,,,,,,,
crack_469_mask_A_s075_v2,Crack,469,mask_A,crack_prompt_v2,0.75,,,,,,,,
crack_469_mask_A_s095_v1,Crack,469,mask_A,crack_prompt_v1,0.95,,,,,,,,
crack_469_mask_A_s095_v2,Crack,469,mask_A,crack_prompt_v2,0.95,,,,,,,,
crack_469_mask_B_s055_v1,Crack,469,mask_B,crack_prompt_v1,0.55,,,,,,,,
crack_469_mask_B_s055_v2,Crack,469,mask_B,crack_prompt_v2,0.55,,,,,,,,
crack_469_mask_B_s075_v1,Crack,469,mask_B,crack_prompt_v1,0.75,,,,,,,,
crack_469_mask_B_s075_v2,Crack,469,mask_B,crack_prompt_v2,0.75,,,,,,,,
crack_469_mask_B_s095_v1,Crack,469,mask_B,crack_prompt_v1,0.95,,,,,,,,
crack_469_mask_B_s095_v2,Crack,469,mask_B,crack_prompt_v2,0.95,,,,,,,,
corrosion_9_mask_A_s055_v1,corrosion,9,mask_A,corrosion_prompt_v1,0.55,,,,,,,,
corrosion_9_mask_A_s055_v2,corrosion,9,mask_A,corrosion_prompt_v2,0.55,,,,,,,,
corrosion_9_mask_A_s075_v1,corrosion,9,mask_A,corrosion_prompt_v1,0.75,,,,,,,,
corrosion_9_mask_A_s075_v2,corrosion,9,mask_A,corrosion_prompt_v2,0.75,,,,,,,,
corrosion_9_mask_A_s095_v1,corrosion,9,mask_A,corrosion_prompt_v1,0.95,,,,,,,,
corrosion_9_mask_A_s095_v2,corrosion,9,mask_A,corrosion_prompt_v2,0.95,,,,,,,,
corrosion_9_mask_B_s055_v1,corrosion,9,mask_B,corrosion_prompt_v1,0.55,,,,,,,,
corrosion_9_mask_B_s055_v2,corrosion,9,mask_B,corrosion_prompt_v2,0.55,,,,,,,,
corrosion_9_mask_B_s075_v1,corrosion,9,mask_B,corrosion_prompt_v1,0.75,,,,,,,,
corrosion_9_mask_B_s075_v2,corrosion,9,mask_B,corrosion_prompt_v2,0.75,,,,,,,,
corrosion_9_mask_B_s095_v1,corrosion,9,mask_B,corrosion_prompt_v1,0.95,,,,,,,,
corrosion_9_mask_B_s095_v2,corrosion,9,mask_B,corrosion_prompt_v2,0.95,,,,,,,,
corrosion_23_mask_A_s055_v1,corrosion,23,mask_A,corrosion_prompt_v1,0.55,,,,,,,,
corrosion_23_mask_A_s055_v2,corrosion,23,mask_A,corrosion_prompt_v2,0.55,,,,,,,,
corrosion_23_mask_A_s075_v1,corrosion,23,mask_A,corrosion_prompt_v1,0.75,,,,,,,,
corrosion_23_mask_A_s075_v2,corrosion,23,mask_A,corrosion_prompt_v2,0.75,,,,,,,,
corrosion_23_mask_A_s095_v1,corrosion,23,mask_A,corrosion_prompt_v1,0.95,,,,,,,,
corrosion_23_mask_A_s095_v2,corrosion,23,mask_A,corrosion_prompt_v2,0.95,,,,,,,,
corrosion_23_mask_B_s055_v1,corrosion,23,mask_B,corrosion_prompt_v1,0.55,,,,,,,,
corrosion_23_mask_B_s055_v2,corrosion,23,mask_B,corrosion_prompt_v2,0.55,,,,,,,,
corrosion_23_mask_B_s075_v1,corrosion,23,mask_B,corrosion_prompt_v1,0.75,,,,,,,,
corrosion_23_mask_B_s075_v2,corrosion,23,mask_B,corrosion_prompt_v2,0.75,,,,,,,,
corrosion_23_mask_B_s095_v1,corrosion,23,mask_B,corrosion_prompt_v1,0.95,,,,,,,,
corrosion_23_mask_B_s095_v2,corrosion,23,mask_B,corrosion_prompt_v2,0.95,,,,,,,,
