pilot_id,source_id,class,variant,seed
crack_86_v1,86,Crack,1,13001
crack_86_v2,86,Crack,2,13002
crack_111_v1,111,Crack,1,13001
crack_111_v2,111,Crack,2,13002
crack_146_v1,146,Crack,1,13001
crack_146_v2,146,Crack,2,13002
crack_260_v1,260,Crack,1,13001
crack_260_v2,260,Crack,2,13002
crack_312_v1,312,Crack,1,13001
crack_312_v2,312,Crack,2,13002
crack_354_v1,354,Crack,1,13001
crack_354_v2,354,Crack,2,13002
crack_356_v1,356,Crack,1,13001
crack_356_v2,356,Crack,2,13002
crack_468_v1,468,Crack,1,13001
crack_468_v2,468,Crack,2,13002
crack_469_v1,469,Crack,1,13001
crack_469_v2,469,Crack,2,13002
crack_470_v1,470,Crack,1,13001
crack_470_v2,470,Crack,2,13002
corrosion_1_v1,1,corrosion,1,13001
corrosion_1_v2,1,corrosion,2,13002
corrosion_2_v1,2,corrosion,1,13001
corrosion_2_v2,2,corrosion,2,13002
corrosion_6_v1,6,corrosion,1,13001
corrosion_6_v2,6,corrosion,2,13002
corrosion_7_v1,7,corrosion,1,13001
corrosion_7_v2,7,corrosion,2,13002
corrosion_8_v1,8,corrosion,1,13001
corrosion_8_v2,8,corrosion,2,13002
corrosion_9_v1,9,corrosion,1,13001
corrosion_9_v2,9,corrosion,2,13002
corrosion_12_v1,12,corrosion,1,13001
corrosion_12_v2,12,corrosion,2,13002
corrosion_13_v1,13,corrosion,1,13001
corrosion_13_v2,13,corrosion,2,13002
corrosion_23_v1,23,corrosion,1,13001
corrosion_23_v2,23,corrosion,2,13002
corrosion_27_v1,27,corrosion,1,13001
corrosion_27_v2,27,corrosion,2,13002
