epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5405,3.23083,5.29361,34.1711,2.40592,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0031746,0.0031746,0.0714286
2,31.9038,3.87548,5.15636,6.0069,2.96686,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00644351,0.00644351,0.0413641
3,37.198,4.19327,4.4258,5.58737,3.27683,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00964641,0.00964641,0.0112337
4,42.506,3.96891,4.14489,5.1682,3.1137,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.009703,0.009703,0.009703
5,47.7954,4.00216,4.09528,5.08818,3.2106,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.009604,0.009604,0.009604
6,53.1972,3.95033,4.15942,5.14653,2.839,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.009505,0.009505,0.009505
7,58.739,3.68445,3.93555,4.78368,2.93082,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.009406,0.009406,0.009406
8,64.4767,3.55177,3.80877,4.75309,2.79622,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.009307,0.009307,0.009307
9,69.9702,3.73108,3.52872,4.7213,2.91497,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.009208,0.009208,0.009208
10,75.4743,3.5631,3.57348,4.3965,2.75554,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.009109,0.009109,0.009109
11,80.7819,3.71386,3.58741,4.56517,2.73673,0,0,0,0,0,0,0,0,0,2.83649,nan,5.60649,3.04909,0,0.00901,0.00901,0.00901
12,86.2396,3.54599,4.40274,4.39301,2.7487,0,0.00341,0.20833,0.02734,0.00357,0.00068,0.04167,0.00161,0.00016,2.44463,1.61244,4.91791,2.27831,0,0.008911,0.008911,0.008911
13,91.7599,3.4153,3.29518,4.39985,2.61557,0,0.00068,0.45833,0.00298,0.00067,0.00018,0.125,0.00043,9e-05,2.3824,1.60747,9.48408,2.23653,0,0.008812,0.008812,0.008812
14,97.2334,3.55425,3.29859,4.20039,2.60119,0,0.23895,0.04167,0.02204,0.00909,0.00037,0.04167,7e-05,3e-05,2.35762,1.54037,5.30847,2.14514,0,0.008713,0.008713,0.008713
15,102.652,3.38512,3.76772,4.55287,2.54342,0,0,0,0,0,0,0,0,0,2.6992,3.44902,8.73857,2.50656,0,0.008614,0.008614,0.008614
16,108.151,3.47089,3.36309,4.37131,2.50451,0,0.00045,0.125,0.00013,3e-05,0.00015,0.04167,1e-05,0,2.70126,2.29484,7.1587,2.39778,0,0.008515,0.008515,0.008515
17,113.54,3.40858,3.5178,4.35232,2.75373,0,0,0,0,0,0.00268,0.04167,0.00033,3e-05,2.43174,1.46541,3.70052,2.19129,0,0.008416,0.008416,0.008416
18,118.936,3.42984,3.68677,4.19317,2.59519,0,0.02542,0.125,0.0511,0.01058,0,0,0,0,2.40552,2.60232,4.73121,2.0767,0,0.008317,0.008317,0.008317
19,124.31,3.26662,3.42121,4.25104,2.53632,0,0.03333,0.16667,0.01241,0.00315,0.00833,0.04167,0.00205,0.00086,2.58806,1.73826,4.48705,2.21042,0,0.008218,0.008218,0.008218
20,129.831,3.45574,3.85409,4.42155,2.60268,0,0.00262,0.25,0.05246,0.01301,0.00044,0.04167,6e-05,1e-05,2.26797,1.53735,4.63998,2.09283,0,0.008119,0.008119,0.008119
