epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,27.4764,1.50034,2.84301,1.91118,1.50424,0,0.47772,0.28226,0.26804,0.13962,0.36693,0.23511,0.23036,0.12301,2.19763,3.67558,3.635,1.99885,0,0.0031746,0.0031746,0.0714286
2,33.9575,1.63215,2.8916,1.98199,1.56256,0,0.52385,0.34206,0.37124,0.18987,0.41482,0.31766,0.33087,0.16007,2.03475,3.47481,2.95714,1.88372,0,0.00629317,0.00629317,0.0412138
3,40.1731,1.65081,2.82123,1.95731,1.56221,0,0.47294,0.43055,0.41196,0.20039,0.42396,0.36951,0.34634,0.18864,2.06799,3.6221,2.42435,1.848,0,0.00919175,0.00919175,0.010779
4,46.6956,1.67703,2.85659,2.02057,1.57706,0,0.37609,0.01952,0.01501,0.00515,0.37262,0.0169,0.01117,0.00261,nan,nan,nan,nan,0,0.00901,0.00901,0.00901
5,53.6506,1.68332,2.92846,2.08677,1.58953,0,0.23712,0.26751,0.24297,0.12442,0.24071,0.23786,0.22605,0.12601,2.21451,3.99967,3.5698,1.97305,0,0.00868,0.00868,0.00868
6,59.8615,1.64992,2.93517,2.04468,1.57387,0,0.48241,0.15219,0.14106,0.06061,0.43888,0.12609,0.10764,0.03924,2.39417,4.37571,3.56158,2.01842,0,0.00835,0.00835,0.00835
7,66.0323,1.62613,2.82818,2.0065,1.55776,0,0.34307,0.33005,0.23198,0.12176,0.39113,0.31489,0.24982,0.12964,2.21158,101.646,2.8702,2.45638,0,0.00802,0.00802,0.00802
8,72.3745,1.63928,2.88904,1.9709,1.55398,0,0.60665,0.4211,0.44736,0.22063,0.58264,0.40451,0.40108,0.21348,1.98958,3.21027,2.2203,1.72826,0,0.00769,0.00769,0.00769
9,78.5268,1.62439,2.85326,1.98178,1.5362,0,0.61967,0.4112,0.45199,0.23555,0.60596,0.40453,0.42154,0.1928,1.98259,3.29418,2.11396,1.753,0,0.00736,0.00736,0.00736
10,84.7193,1.64056,2.85278,1.9933,1.54581,0,0.60615,0.4527,0.45311,0.24282,0.54289,0.44248,0.42204,0.22879,1.96268,3.2778,2.17155,1.75243,0,0.00703,0.00703,0.00703
11,90.8738,1.59934,2.85561,1.91674,1.53647,0,0.44707,0.41179,0.45404,0.214,0.63507,0.29333,0.40443,0.18658,2.07322,3.25314,2.24585,1.81837,0,0.0067,0.0067,0.0067
12,97.0492,1.58009,2.77761,1.90389,1.51215,0,0.63323,0.36854,0.46477,0.24586,0.61325,0.3587,0.41707,0.22421,1.96978,3.30904,2.40312,1.80342,0,0.00637,0.00637,0.00637
13,103.401,1.54638,2.77226,1.88783,1.50749,0,0.48107,0.45062,0.46068,0.23461,0.51279,0.36208,0.41037,0.19263,2.02314,3.24572,2.63513,1.82337,0,0.00604,0.00604,0.00604
14,109.659,1.56341,2.74754,1.89079,1.52402,0,0.55925,0.48899,0.49242,0.27685,0.53564,0.43789,0.45355,0.24051,1.90017,3.07558,2.34962,1.71053,0,0.00571,0.00571,0.00571
15,115.949,1.50023,2.71921,1.81283,1.49095,0,0.62007,0.45251,0.49457,0.28547,0.58944,0.40034,0.41168,0.23448,1.88241,3.22564,2.06874,1.71463,0,0.00538,0.00538,0.00538
16,122.154,1.49737,2.64968,1.77038,1.45498,0,0.56338,0.50703,0.52255,0.28237,0.54599,0.41392,0.45966,0.24642,1.83937,3.07343,2.032,1.6813,0,0.00505,0.00505,0.00505
17,128.478,1.53986,2.71997,1.80907,1.48239,0,0.66759,0.47582,0.50767,0.26175,0.64119,0.44113,0.45985,0.25545,1.85538,3.03582,2.23277,1.69179,0,0.00472,0.00472,0.00472
18,134.768,1.51202,2.69906,1.80422,1.46155,0,0.70368,0.47408,0.53456,0.29394,0.6769,0.45644,0.47539,0.2649,1.79867,3.07538,1.94923,1.62687,0,0.00439,0.00439,0.00439
19,141.299,1.48835,2.7097,1.80027,1.45691,0,0.54005,0.47924,0.49347,0.28294,0.5033,0.43326,0.44856,0.23129,1.82934,3.03833,1.93416,1.63311,0,0.00406,0.00406,0.00406
20,147.572,1.48741,2.66621,1.75631,1.44947,0,0.56117,0.5672,0.54629,0.32715,0.58069,0.47544,0.48596,0.257,1.78554,3.07968,1.91499,1.58033,0,0.00373,0.00373,0.00373
21,155.168,1.515,2.59015,1.85374,1.50374,0,0.63905,0.4718,0.51825,0.27945,0.58987,0.43343,0.44254,0.23222,1.91316,3.17063,1.99311,1.69851,0,0.0034,0.0034,0.0034
22,161.452,1.49167,2.53646,1.73516,1.53897,0,0.66175,0.44304,0.51264,0.28477,0.62843,0.41854,0.44878,0.23737,1.84428,3.06959,2.01099,1.70853,0,0.00307,0.00307,0.00307
23,167.677,1.50034,2.58376,1.75688,1.53839,0,0.65613,0.46053,0.53301,0.30576,0.6254,0.43087,0.4572,0.25909,1.81829,3.08051,1.90121,1.62986,0,0.00274,0.00274,0.00274
24,174.11,1.46285,2.55004,1.7233,1.53039,0,0.62138,0.52796,0.55289,0.32739,0.63513,0.44426,0.4897,0.26719,1.7903,2.92381,1.86106,1.66476,0,0.00241,0.00241,0.00241
25,180.302,1.41909,2.40537,1.59578,1.47989,0,0.76245,0.50159,0.54665,0.31946,0.72042,0.43713,0.47305,0.26223,1.80836,2.97369,1.88981,1.6799,0,0.00208,0.00208,0.00208
26,186.538,1.4195,2.42559,1.65214,1.48395,0,0.66644,0.54875,0.58919,0.33566,0.6052,0.48694,0.51472,0.27907,1.78948,2.86969,1.85407,1.65448,0,0.00175,0.00175,0.00175
27,192.715,1.40446,2.44253,1.60462,1.48952,0,0.67979,0.56333,0.59821,0.33321,0.58477,0.48987,0.49489,0.28659,1.81589,2.9173,1.87201,1.69584,0,0.00142,0.00142,0.00142
28,198.875,1.37685,2.4733,1.60818,1.47701,0,0.75179,0.5289,0.60549,0.34277,0.6144,0.49191,0.51675,0.27676,1.77917,2.82939,1.79005,1.65451,0,0.00109,0.00109,0.00109
29,204.981,1.38564,2.42248,1.54863,1.45802,0,0.77724,0.52013,0.6161,0.35712,0.67859,0.45666,0.51547,0.28107,1.77333,2.82004,1.805,1.637,0,0.00076,0.00076,0.00076
30,211.428,1.32696,2.28687,1.45114,1.38556,0,0.62223,0.56775,0.59364,0.34948,0.67555,0.46009,0.50345,0.28068,1.74257,2.81325,1.75767,1.59832,0,0.00043,0.00043,0.00043
