image_stem,hard_score,FN,wrong_class,localization_failure,FP,labels_present,is_hard
1,7,0,0,3,1,corrosion,True
2,1,0,0,0,1,corrosion,False
3,6,0,0,3,0,Burn,True
6,5,0,0,2,1,corrosion,True
7,8,0,0,3,2,corrosion,True
8,0,0,0,0,0,corrosion,False
9,10,0,0,4,2,corrosion,True
12,10,0,1,3,2,corrosion,True
13,2,0,0,1,0,corrosion,False
14,7,2,0,0,1,Burn|corrosion,True
15,4,1,0,0,1,Material missing,True
17,3,1,0,0,0,Crack|corrosion,False
18,12,4,0,0,0,Dent|Material missing,True
20,12,1,2,1,3,Burn|corrosion,True
21,3,1,0,0,0,Dent|corrosion,False
23,2,0,0,1,0,corrosion,False
24,13,4,0,0,1,Burn|corrosion,True
26,18,4,1,1,2,Burn|corrosion,True
27,2,0,0,1,0,corrosion,False
28,3,1,0,0,0,Dent,False
29,2,0,0,1,0,corrosion,False
31,15,3,0,2,2,Burn|Crack|Material missing|corrosion,True
33,22,0,0,8,6,corrosion,True
34,1,0,0,0,1,corrosion,False
37,8,0,0,2,4,corrosion,True
38,12,4,0,0,0,corrosion,True
43,4,0,0,2,0,corrosion,True
44,8,2,0,0,2,Burn|Material missing|corrosion,True
48,12,4,0,0,0,Burn,True
49,2,0,0,0,2,corrosion,False
50,11,1,0,3,2,Burn|Material missing|corrosion,True
52,3,0,0,1,1,corrosion,True
53,0,0,0,0,0,corrosion,False
54,16,1,0,4,5,Material missing|corrosion,True
55,4,0,0,1,2,corrosion,True
56,4,0,0,2,0,corrosion,True
57,3,0,1,0,1,corrosion,True
58,12,2,0,2,2,Material missing|corrosion,True
59,4,0,0,1,2,corrosion,True
63,6,2,0,0,0,Burn,True
64,6,2,0,0,0,Burn,True
65,6,0,0,1,4,Material missing|corrosion,True
66,2,0,0,1,0,corrosion,False
67,4,0,0,1,2,corrosion,True
68,1,0,0,0,1,corrosion,False
69,4,1,0,0,1,Material missing|corrosion,True
71,13,0,0,6,1,corrosion,True
72,6,2,0,0,0,Crack|corrosion,True
73,3,1,0,0,0,corrosion,True
75,0,0,0,0,0,Material missing|corrosion,False
76,7,0,0,2,3,Burn,True
79,4,1,0,0,1,Burn,True
80,0,0,0,0,0,corrosion,False
81,6,1,1,0,1,corrosion,True
82,3,1,0,0,0,Dent,True
83,3,0,0,0,3,Burn,True
84,7,2,0,0,1,Material missing,True
85,9,2,0,1,1,Dent|Material missing,True
86,3,1,0,0,0,Crack,True
88,7,2,0,0,1,Burn,True
89,2,0,0,1,0,corrosion,False
91,0,0,0,0,0,corrosion,False
93,3,1,0,0,0,corrosion,True
94,6,2,0,0,0,Burn|corrosion,True
95,12,3,0,0,3,Burn|Material missing|corrosion,True
96,6,1,1,0,1,corrosion,True
97,9,3,0,0,0,Burn,True
98,13,0,0,3,7,corrosion,True
