epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,27.8201,1.58262,3.03383,2.17994,1.57871,0,0.28686,0.27798,0.2547,0.12947,0.30809,0.25668,0.23349,0.11313,2.27478,3.74764,4.18939,2.10757,0,0.0031746,0.0031746,0.0714286
2,34.5015,1.67995,3.05231,2.15919,1.62662,0,0.50006,0.37966,0.38522,0.20499,0.54786,0.32482,0.35023,0.18788,2.12949,19.4563,4.0772,2.05509,0,0.00629317,0.00629317,0.0412138
3,40.9297,1.65484,2.98206,2.11344,1.58666,0,0.54887,0.33015,0.35456,0.18292,0.50146,0.30634,0.32539,0.17415,2.15865,86.8363,3.36989,2.14449,0,0.00919175,0.00919175,0.010779
4,47.3717,1.67818,3.10641,2.14659,1.62397,0,0.53435,0.41214,0.42693,0.23586,0.49847,0.34308,0.35894,0.20142,2.11263,4.25992,2.6185,1.91274,0,0.00901,0.00901,0.00901
5,53.7298,1.73086,3.03466,2.14254,1.61602,0,0.27263,0.1884,0.16553,0.09147,0.37797,0.14535,0.12753,0.08253,nan,nan,nan,nan,0,0.00868,0.00868,0.00868
6,59.9729,1.68257,3.03659,2.13233,1.61244,0,0.5484,0.35005,0.37913,0.19289,0.53464,0.34045,0.34371,0.17289,2.12552,4.45919,3.1874,1.93334,0,0.00835,0.00835,0.00835
7,66.5923,1.66543,2.948,2.09039,1.59675,0,0.54037,0.38246,0.35055,0.18027,0.50943,0.32041,0.31488,0.16691,2.107,3.35876,2.76439,1.8663,0,0.00802,0.00802,0.00802
8,73.0398,1.65921,2.9407,2.058,1.57687,0,0.57459,0.47442,0.41869,0.19848,0.50577,0.41104,0.35742,0.18407,2.07883,3.23729,2.76581,1.81302,0,0.00769,0.00769,0.00769
9,79.4292,1.63456,2.96118,2.05327,1.56281,0,0.73157,0.44521,0.52919,0.26595,0.62402,0.41106,0.46446,0.23424,1.93713,3.14665,2.18012,1.71577,0,0.00736,0.00736,0.00736
10,85.8453,1.61023,2.89712,2.01084,1.54377,0,0.62813,0.40521,0.42257,0.23769,0.58517,0.37109,0.37471,0.20295,2.07282,3.57383,2.62393,1.77703,0,0.00703,0.00703,0.00703
11,92.1756,1.60778,2.90212,2.01342,1.52776,0,0.61083,0.46877,0.56178,0.30898,0.65599,0.39703,0.45898,0.24858,1.93747,3.14767,2.23019,1.77551,0,0.0067,0.0067,0.0067
12,98.5352,1.58186,2.86636,1.9384,1.51397,0,0.54803,0.43813,0.44029,0.21499,0.45994,0.35705,0.36386,0.18659,2.01056,3.0948,2.17384,1.79975,0,0.00637,0.00637,0.00637
13,105.058,1.57567,2.85583,1.89966,1.51183,0,0.63069,0.49576,0.51937,0.2525,0.55309,0.44888,0.44788,0.22619,1.935,3.13045,2.28014,1.73771,0,0.00604,0.00604,0.00604
14,111.332,1.59843,2.91749,1.98994,1.53377,0,0.55211,0.49234,0.50012,0.26824,0.51723,0.42523,0.43499,0.24197,1.93356,3.15487,2.27411,1.71934,0,0.00571,0.00571,0.00571
15,117.572,1.58779,2.84904,1.91879,1.51423,0,0.55007,0.46528,0.46868,0.25819,0.69122,0.33789,0.43009,0.22644,1.94034,3.08418,2.33128,1.74833,0,0.00538,0.00538,0.00538
16,123.915,1.57445,2.79769,1.90811,1.50883,0,0.72015,0.41421,0.52051,0.28203,0.70445,0.40217,0.47819,0.25917,1.88139,3.10795,1.99943,1.6608,0,0.00505,0.00505,0.00505
17,130.208,1.53936,2.79318,1.91197,1.4955,0,0.78401,0.43779,0.5592,0.29419,0.78437,0.40487,0.50508,0.27605,1.87383,3.0132,1.82873,1.63044,0,0.00472,0.00472,0.00472
18,136.526,1.52309,2.80724,1.85037,1.492,0,0.64781,0.49794,0.56184,0.29323,0.58281,0.43411,0.48636,0.2639,1.85858,2.93717,1.93428,1.68539,0,0.00439,0.00439,0.00439
19,142.997,1.48045,2.74249,1.79543,1.46945,0,0.6536,0.5089,0.5209,0.28496,0.62124,0.45545,0.45856,0.23778,1.84637,2.98259,1.97654,1.65892,0,0.00406,0.00406,0.00406
20,149.271,1.46005,2.72567,1.7366,1.42572,0,0.62265,0.47176,0.53077,0.28324,0.62795,0.42039,0.47048,0.25357,1.81797,2.98162,1.94117,1.67314,0,0.00373,0.00373,0.00373
21,157.009,1.53712,2.71742,1.94336,1.56693,0,0.60765,0.52474,0.53588,0.24899,0.54675,0.44384,0.44427,0.24491,1.96847,2.98005,2.21511,1.76014,0,0.0034,0.0034,0.0034
22,163.3,1.55324,2.69356,1.88151,1.58489,0,0.53136,0.50581,0.51167,0.28878,0.62643,0.40373,0.45528,0.26098,1.86443,2.93224,1.99247,1.71655,0,0.00307,0.00307,0.00307
23,169.581,1.48461,2.54927,1.80323,1.54375,0,0.66957,0.56065,0.59228,0.31856,0.64722,0.50354,0.51283,0.27934,1.8323,2.93171,1.89045,1.67925,0,0.00274,0.00274,0.00274
24,175.94,1.47048,2.62361,1.77731,1.51316,0,0.75527,0.48594,0.55705,0.30803,0.7179,0.46624,0.50624,0.27841,1.80192,2.90921,1.86416,1.63171,0,0.00241,0.00241,0.00241
