patch_path,source_image,split,class_id,class_name,source_type,bbox,crop_coordinates,source_index
results/fast_repro/exp06_roi/patches/train/corrosion/1__gt0.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/1.png,train,6,corrosion,gt_positive,"[409.0, 382.0, 570.0, 409.0]","[393, 379, 586, 412]",0
results/fast_repro/exp06_roi/patches/train/corrosion/1__gt1.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/1.png,train,6,corrosion,gt_positive,"[380.0396728515625, 259.3650817871094, 432.0079650878906, 283.3650817871094]","[375, 257, 437, 286]",1
results/fast_repro/exp06_roi/patches/train/corrosion/1__gt2.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/1.png,train,6,corrosion,gt_positive,"[84.0079345703125, 346.5873107910156, 107.00794219970703, 370.36505126953125]","[82, 344, 109, 373]",2
results/fast_repro/exp06_roi/patches/train/corrosion/2__gt0.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/2.png,train,6,corrosion,gt_positive,"[40.0, 64.0, 159.0, 112.0]","[28, 59, 171, 117]",0
results/fast_repro/exp06_roi/patches/train/Burn/3__gt0.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/3.png,train,0,Burn,gt_positive,"[2.007936477661133, 46.36507797241211, 318.0079345703125, 227.53968811035156]","[0, 28, 350, 246]",0
results/fast_repro/exp06_roi/patches/train/Burn/3__gt1.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/3.png,train,0,Burn,gt_positive,"[11.0, 194.0, 396.0, 358.0]","[0, 178, 434, 374]",1
results/fast_repro/exp06_roi/patches/train/Burn/3__gt2.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/3.png,train,0,Burn,gt_positive,"[341.1507873535156, 3.365079402923584, 508.0079345703125, 101.36508178710938]","[324, 0, 525, 111]",2
results/fast_repro/exp06_roi/patches/train/Burn/3__gt3.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/3.png,train,0,Burn,gt_positive,"[396.0079345703125, 3.365079402923584, 716.0079345703125, 249.36508178710938]","[364, 0, 720, 274]",3
results/fast_repro/exp06_roi/patches/train/corrosion/6__gt0.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/6.png,train,6,corrosion,gt_positive,"[114.0, 322.0, 141.0, 343.0]","[111, 320, 144, 345]",0
results/fast_repro/exp06_roi/patches/train/corrosion/6__gt1.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/6.png,train,6,corrosion,gt_positive,"[364.9999694824219, 370.0, 432.0000305175781, 388.0]","[358, 368, 439, 390]",1
