mode,stage1_conf,stage2_threshold,TP,FP,FN,Precision,Recall,F1,WrongClass,Mask_AP50,Mask_AP50_95
stage1_only,0.05,N/A,170,628,126,0.21303258145363407,0.5743243243243243,0.3107861060329068,12,N/A,N/A
A,0.05,0.3,136,329,160,0.2924731182795699,0.4594594594594595,0.3574244415243102,11,N/A,N/A
A,0.05,0.5,130,282,166,0.3155339805825243,0.4391891891891892,0.3672316384180791,8,N/A,N/A
A,0.05,0.7,124,245,172,0.33604336043360433,0.4189189189189189,0.37293233082706767,7,N/A,N/A
B,0.05,0.3,126,279,170,0.3111111111111111,0.42567567567567566,0.3594864479315264,9,N/A,N/A
B,0.05,0.5,125,267,171,0.31887755102040816,0.4222972972972973,0.36337209302325585,8,N/A,N/A
B,0.05,0.7,120,226,176,0.3468208092485549,0.40540540540540543,0.37383177570093457,5,N/A,N/A
stage1_only,0.1,N/A,157,323,139,0.32708333333333334,0.5304054054054054,0.404639175257732,9,N/A,N/A
A,0.1,0.3,130,177,166,0.4234527687296417,0.4391891891891892,0.4311774461028192,6,N/A,N/A
A,0.1,0.5,124,156,172,0.44285714285714284,0.4189189189189189,0.4305555555555556,5,N/A,N/A
A,0.1,0.7,118,138,178,0.4609375,0.39864864864864863,0.4275362318840579,5,N/A,N/A
B,0.1,0.3,121,153,175,0.4416058394160584,0.40878378378378377,0.4245614035087719,8,N/A,N/A
B,0.1,0.5,120,146,176,0.45112781954887216,0.40540540540540543,0.4270462633451957,7,N/A,N/A
B,0.1,0.7,116,126,180,0.4793388429752066,0.3918918918918919,0.43122676579925656,4,N/A,N/A
stage1_only,0.15,N/A,144,195,152,0.4247787610619469,0.4864864864864865,0.45354330708661417,8,N/A,N/A
A,0.15,0.3,121,118,175,0.5062761506276151,0.40878378378378377,0.4523364485981308,6,N/A,N/A
A,0.15,0.5,116,104,180,0.5272727272727272,0.3918918918918919,0.44961240310077516,5,N/A,N/A
A,0.15,0.7,111,93,185,0.5441176470588235,0.375,0.444,5,N/A,N/A
B,0.15,0.3,114,102,182,0.5277777777777778,0.38513513513513514,0.4453125,7,N/A,N/A
B,0.15,0.5,114,97,182,0.5402843601895735,0.38513513513513514,0.44970414201183434,6,N/A,N/A
B,0.15,0.7,110,82,186,0.5729166666666666,0.3716216216216216,0.4508196721311475,4,N/A,N/A
baseline,0.25,N/A,123,99,173,0.5540540540540541,0.4155405405405405,0.4749034749034749,6,N/A,N/A
