mode,stage1_conf,stage2_threshold,TP,FP,FN,Precision,Recall,F1,WrongClass,Mask_AP50,Mask_AP50_95
stage1_only,0.05,N/A,170,628,126,0.21303258145363407,0.5743243243243243,0.3107861060329068,12,N/A,N/A
A,0.05,0.3,140,370,156,0.27450980392156865,0.47297297297297297,0.3473945409429281,12,N/A,N/A
A,0.05,0.5,128,327,168,0.2813186813186813,0.43243243243243246,0.340878828229028,11,N/A,N/A
A,0.05,0.7,116,264,180,0.30526315789473685,0.3918918918918919,0.3431952662721893,8,N/A,N/A
B,0.05,0.3,125,316,171,0.2834467120181406,0.4222972972972973,0.33921302578018997,11,N/A,N/A
B,0.05,0.5,123,304,173,0.28805620608899296,0.4155405405405405,0.34024896265560167,10,N/A,N/A
B,0.05,0.7,111,240,185,0.3162393162393162,0.375,0.34312210200927357,7,N/A,N/A
stage1_only,0.1,N/A,157,323,139,0.32708333333333334,0.5304054054054054,0.404639175257732,9,N/A,N/A
A,0.1,0.3,130,206,166,0.3869047619047619,0.4391891891891892,0.41139240506329117,7,N/A,N/A
A,0.1,0.5,119,182,177,0.3953488372093023,0.40202702702702703,0.3986599664991625,6,N/A,N/A
A,0.1,0.7,107,154,189,0.4099616858237548,0.3614864864864865,0.3842010771992819,5,N/A,N/A
B,0.1,0.3,118,177,178,0.4,0.39864864864864863,0.39932318104906944,7,N/A,N/A
B,0.1,0.5,116,172,180,0.4027777777777778,0.3918918918918919,0.3972602739726028,7,N/A,N/A
B,0.1,0.7,104,138,192,0.4297520661157025,0.35135135135135137,0.3866171003717472,5,N/A,N/A
stage1_only,0.15,N/A,144,195,152,0.4247787610619469,0.4864864864864865,0.45354330708661417,8,N/A,N/A
A,0.15,0.3,123,139,173,0.46946564885496184,0.4155405405405405,0.44086021505376344,7,N/A,N/A
A,0.15,0.5,113,123,183,0.4788135593220339,0.38175675675675674,0.424812030075188,6,N/A,N/A
A,0.15,0.7,103,107,193,0.49047619047619045,0.34797297297297297,0.40711462450592883,5,N/A,N/A
B,0.15,0.3,112,120,184,0.4827586206896552,0.3783783783783784,0.42424242424242425,7,N/A,N/A
B,0.15,0.5,111,118,185,0.4847161572052402,0.375,0.4228571428571429,7,N/A,N/A
B,0.15,0.7,99,97,197,0.5051020408163265,0.3344594594594595,0.4024390243902439,5,N/A,N/A
baseline,0.25,N/A,123,99,173,0.5540540540540541,0.4155405405405405,0.4749034749034749,6,N/A,N/A
