name,tensor_category,eval_forward_changed,train_forward_changed
0.bn.running_mean,bn_running_mean,false,true
0.bn.running_var,bn_running_var,false,true
0.bn.num_batches_tracked,bn_num_batches_tracked,false,true
1.bn.running_mean,bn_running_mean,false,true
1.bn.running_var,bn_running_var,false,true
1.bn.num_batches_tracked,bn_num_batches_tracked,false,true
2.cv1.bn.running_mean,bn_running_mean,false,true
2.cv1.bn.running_var,bn_running_var,false,true
2.cv1.bn.num_batches_tracked,bn_num_batches_tracked,false,true
2.cv2.bn.running_mean,bn_running_mean,false,true
2.cv2.bn.running_var,bn_running_var,false,true
2.cv2.bn.num_batches_tracked,bn_num_batches_tracked,false,true
2.m.0.cv1.bn.running_mean,bn_running_mean,false,true
2.m.0.cv1.bn.running_var,bn_running_var,false,true
2.m.0.cv1.bn.num_batches_tracked,bn_num_batches_tracked,false,true
2.m.0.cv2.bn.running_mean,bn_running_mean,false,true
2.m.0.cv2.bn.running_var,bn_running_var,false,true
2.m.0.cv2.bn.num_batches_tracked,bn_num_batches_tracked,false,true
3.bn.running_mean,bn_running_mean,false,true
3.bn.running_var,bn_running_var,false,true
3.bn.num_batches_tracked,bn_num_batches_tracked,false,true
4.cv1.bn.running_mean,bn_running_mean,false,true
4.cv1.bn.running_var,bn_running_var,false,true
4.cv1.bn.num_batches_tracked,bn_num_batches_tracked,false,true
4.cv2.bn.running_mean,bn_running_mean,false,true
4.cv2.bn.running_var,bn_running_var,false,true
4.cv2.bn.num_batches_tracked,bn_num_batches_tracked,false,true
4.m.0.cv1.bn.running_mean,bn_running_mean,false,true
4.m.0.cv1.bn.running_var,bn_running_var,false,true
4.m.0.cv1.bn.num_batches_tracked,bn_num_batches_tracked,false,true
4.m.0.cv2.bn.running_mean,bn_running_mean,false,true
4.m.0.cv2.bn.running_var,bn_running_var,false,true
4.m.0.cv2.bn.num_batches_tracked,bn_num_batches_tracked,false,true
5.bn.running_mean,bn_running_mean,false,true
5.bn.running_var,bn_running_var,false,true
5.bn.num_batches_tracked,bn_num_batches_tracked,false,true
6.cv1.bn.running_mean,bn_running_mean,false,true
6.cv1.bn.running_var,bn_running_var,false,true
6.cv1.bn.num_batches_tracked,bn_num_batches_tracked,false,true
6.cv2.bn.running_mean,bn_running_mean,false,true
6.cv2.bn.running_var,bn_running_var,false,true
6.cv2.bn.num_batches_tracked,bn_num_batches_tracked,false,true
6.m.0.cv1.bn.running_mean,bn_running_mean,false,true
6.m.0.cv1.bn.running_var,bn_running_var,false,true
6.m.0.cv1.bn.num_batches_tracked,bn_num_batches_tracked,false,true
6.m.0.cv2.bn.running_mean,bn_running_mean,false,true
6.m.0.cv2.bn.running_var,bn_running_var,false,true
6.m.0.cv2.bn.num_batches_tracked,bn_num_batches_tracked,false,true
6.m.0.cv3.bn.running_mean,bn_running_mean,false,true
6.m.0.cv3.bn.running_var,bn_running_var,false,true
6.m.0.cv3.bn.num_batches_tracked,bn_num_batches_tracked,false,true
6.m.0.m.0.cv1.bn.running_mean,bn_running_mean,false,true
6.m.0.m.0.cv1.bn.running_var,bn_running_var,false,true
6.m.0.m.0.cv1.bn.num_batches_tracked,bn_num_batches_tracked,false,true
6.m.0.m.0.cv2.bn.running_mean,bn_running_mean,false,true
6.m.0.m.0.cv2.bn.running_var,bn_running_var,false,true
6.m.0.m.0.cv2.bn.num_batches_tracked,bn_num_batches_tracked,false,true
