name,parameter_or_buffer,source_dtype,destination_dtype,exact_after_dtype_cast,max_abs_diff,pass
0.conv.weight,parameter,torch.float32,torch.float32,true,0.0,true
0.bn.weight,parameter,torch.float32,torch.float32,true,0.0,true
0.bn.bias,parameter,torch.float32,torch.float32,true,0.0,true
0.bn.running_mean,buffer,torch.float32,torch.float32,true,0.0,true
0.bn.running_var,buffer,torch.float32,torch.float32,true,0.0,true
0.bn.num_batches_tracked,buffer,torch.int64,torch.int64,true,0.0,true
1.conv.weight,parameter,torch.float32,torch.float32,true,0.0,true
1.bn.weight,parameter,torch.float32,torch.float32,true,0.0,true
1.bn.bias,parameter,torch.float32,torch.float32,true,0.0,true
1.bn.running_mean,buffer,torch.float32,torch.float32,true,0.0,true
1.bn.running_var,buffer,torch.float32,torch.float32,true,0.0,true
1.bn.num_batches_tracked,buffer,torch.int64,torch.int64,true,0.0,true
2.cv1.conv.weight,parameter,torch.float32,torch.float32,true,0.0,true
2.cv1.bn.weight,parameter,torch.float32,torch.float32,true,0.0,true
2.cv1.bn.bias,parameter,torch.float32,torch.float32,true,0.0,true
2.cv1.bn.running_mean,buffer,torch.float32,torch.float32,true,0.0,true
2.cv1.bn.running_var,buffer,torch.float32,torch.float32,true,0.0,true
2.cv1.bn.num_batches_tracked,buffer,torch.int64,torch.int64,true,0.0,true
2.cv2.conv.weight,parameter,torch.float32,torch.float32,true,0.0,true
2.cv2.bn.weight,parameter,torch.float32,torch.float32,true,0.0,true
2.cv2.bn.bias,parameter,torch.float32,torch.float32,true,0.0,true
2.cv2.bn.running_mean,buffer,torch.float32,torch.float32,true,0.0,true
2.cv2.bn.running_var,buffer,torch.float32,torch.float32,true,0.0,true
2.cv2.bn.num_batches_tracked,buffer,torch.int64,torch.int64,true,0.0,true
2.m.0.cv1.conv.weight,parameter,torch.float32,torch.float32,true,0.0,true
2.m.0.cv1.bn.weight,parameter,torch.float32,torch.float32,true,0.0,true
2.m.0.cv1.bn.bias,parameter,torch.float32,torch.float32,true,0.0,true
2.m.0.cv1.bn.running_mean,buffer,torch.float32,torch.float32,true,0.0,true
2.m.0.cv1.bn.running_var,buffer,torch.float32,torch.float32,true,0.0,true
2.m.0.cv1.bn.num_batches_tracked,buffer,torch.int64,torch.int64,true,0.0,true
2.m.0.cv2.conv.weight,parameter,torch.float32,torch.float32,true,0.0,true
2.m.0.cv2.bn.weight,parameter,torch.float32,torch.float32,true,0.0,true
2.m.0.cv2.bn.bias,parameter,torch.float32,torch.float32,true,0.0,true
2.m.0.cv2.bn.running_mean,buffer,torch.float32,torch.float32,true,0.0,true
2.m.0.cv2.bn.running_var,buffer,torch.float32,torch.float32,true,0.0,true
2.m.0.cv2.bn.num_batches_tracked,buffer,torch.int64,torch.int64,true,0.0,true
3.conv.weight,parameter,torch.float32,torch.float32,true,0.0,true
3.bn.weight,parameter,torch.float32,torch.float32,true,0.0,true
3.bn.bias,parameter,torch.float32,torch.float32,true,0.0,true
3.bn.running_mean,buffer,torch.float32,torch.float32,true,0.0,true
3.bn.running_var,buffer,torch.float32,torch.float32,true,0.0,true
3.bn.num_batches_tracked,buffer,torch.int64,torch.int64,true,0.0,true
4.cv1.conv.weight,parameter,torch.float32,torch.float32,true,0.0,true
4.cv1.bn.weight,parameter,torch.float32,torch.float32,true,0.0,true
4.cv1.bn.bias,parameter,torch.float32,torch.float32,true,0.0,true
4.cv1.bn.running_mean,buffer,torch.float32,torch.float32,true,0.0,true
4.cv1.bn.running_var,buffer,torch.float32,torch.float32,true,0.0,true
4.cv1.bn.num_batches_tracked,buffer,torch.int64,torch.int64,true,0.0,true
4.cv2.conv.weight,parameter,torch.float32,torch.float32,true,0.0,true
4.cv2.bn.weight,parameter,torch.float32,torch.float32,true,0.0,true
4.cv2.bn.bias,parameter,torch.float32,torch.float32,true,0.0,true
4.cv2.bn.running_mean,buffer,torch.float32,torch.float32,true,0.0,true
4.cv2.bn.running_var,buffer,torch.float32,torch.float32,true,0.0,true
4.cv2.bn.num_batches_tracked,buffer,torch.int64,torch.int64,true,0.0,true
4.m.0.cv1.conv.weight,parameter,torch.float32,torch.float32,true,0.0,true
4.m.0.cv1.bn.weight,parameter,torch.float32,torch.float32,true,0.0,true
4.m.0.cv1.bn.bias,parameter,torch.float32,torch.float32,true,0.0,true
4.m.0.cv1.bn.running_mean,buffer,torch.float32,torch.float32,true,0.0,true
4.m.0.cv1.bn.running_var,buffer,torch.float32,torch.float32,true,0.0,true
4.m.0.cv1.bn.num_batches_tracked,buffer,torch.int64,torch.int64,true,0.0,true
4.m.0.cv2.conv.weight,parameter,torch.float32,torch.float32,true,0.0,true
4.m.0.cv2.bn.weight,parameter,torch.float32,torch.float32,true,0.0,true
4.m.0.cv2.bn.bias,parameter,torch.float32,torch.float32,true,0.0,true
4.m.0.cv2.bn.running_mean,buffer,torch.float32,torch.float32,true,0.0,true
4.m.0.cv2.bn.running_var,buffer,torch.float32,torch.float32,true,0.0,true
4.m.0.cv2.bn.num_batches_tracked,buffer,torch.int64,torch.int64,true,0.0,true
5.conv.weight,parameter,torch.float32,torch.float32,true,0.0,true
5.bn.weight,parameter,torch.float32,torch.float32,true,0.0,true
5.bn.bias,parameter,torch.float32,torch.float32,true,0.0,true
5.bn.running_mean,buffer,torch.float32,torch.float32,true,0.0,true
5.bn.running_var,buffer,torch.float32,torch.float32,true,0.0,true
5.bn.num_batches_tracked,buffer,torch.int64,torch.int64,true,0.0,true
6.cv1.conv.weight,parameter,torch.float32,torch.float32,true,0.0,true
6.cv1.bn.weight,parameter,torch.float32,torch.float32,true,0.0,true
6.cv1.bn.bias,parameter,torch.float32,torch.float32,true,0.0,true
6.cv1.bn.running_mean,buffer,torch.float32,torch.float32,true,0.0,true
6.cv1.bn.running_var,buffer,torch.float32,torch.float32,true,0.0,true
6.cv1.bn.num_batches_tracked,buffer,torch.int64,torch.int64,true,0.0,true
6.cv2.conv.weight,parameter,torch.float32,torch.float32,true,0.0,true
6.cv2.bn.weight,parameter,torch.float32,torch.float32,true,0.0,true
6.cv2.bn.bias,parameter,torch.float32,torch.float32,true,0.0,true
6.cv2.bn.running_mean,buffer,torch.float32,torch.float32,true,0.0,true
6.cv2.bn.running_var,buffer,torch.float32,torch.float32,true,0.0,true
6.cv2.bn.num_batches_tracked,buffer,torch.int64,torch.int64,true,0.0,true
6.m.0.cv1.conv.weight,parameter,torch.float32,torch.float32,true,0.0,true
6.m.0.cv1.bn.weight,parameter,torch.float32,torch.float32,true,0.0,true
6.m.0.cv1.bn.bias,parameter,torch.float32,torch.float32,true,0.0,true
6.m.0.cv1.bn.running_mean,buffer,torch.float32,torch.float32,true,0.0,true
6.m.0.cv1.bn.running_var,buffer,torch.float32,torch.float32,true,0.0,true
6.m.0.cv1.bn.num_batches_tracked,buffer,torch.int64,torch.int64,true,0.0,true
6.m.0.cv2.conv.weight,parameter,torch.float32,torch.float32,true,0.0,true
6.m.0.cv2.bn.weight,parameter,torch.float32,torch.float32,true,0.0,true
6.m.0.cv2.bn.bias,parameter,torch.float32,torch.float32,true,0.0,true
6.m.0.cv2.bn.running_mean,buffer,torch.float32,torch.float32,true,0.0,true
6.m.0.cv2.bn.running_var,buffer,torch.float32,torch.float32,true,0.0,true
6.m.0.cv2.bn.num_batches_tracked,buffer,torch.int64,torch.int64,true,0.0,true
6.m.0.cv3.conv.weight,parameter,torch.float32,torch.float32,true,0.0,true
6.m.0.cv3.bn.weight,parameter,torch.float32,torch.float32,true,0.0,true
6.m.0.cv3.bn.bias,parameter,torch.float32,torch.float32,true,0.0,true
6.m.0.cv3.bn.running_mean,buffer,torch.float32,torch.float32,true,0.0,true
