name,parameter_or_buffer,tensor_category,source_dtype,reload_dtype,exact_source_cast,exact_after_fp16_quantization,max_abs_diff,mean_abs_diff,allclose_fp16_tolerance
0.conv.weight,parameter,conv_weight,torch.float32,torch.float32,true,true,0.0,0.0,true
0.bn.weight,parameter,bn_weight,torch.float32,torch.float32,true,true,0.0,0.0,true
0.bn.bias,parameter,bn_bias,torch.float32,torch.float32,true,true,0.0,0.0,true
0.bn.running_mean,buffer,bn_running_mean,torch.float32,torch.float32,false,true,3.917515277862549e-05,5.325506720055273e-06,true
0.bn.running_var,buffer,bn_running_var,torch.float32,torch.float32,false,true,1.8891878426074982e-06,6.441737241402734e-07,true
0.bn.num_batches_tracked,buffer,bn_num_batches_tracked,torch.int64,torch.int64,true,true,0.0,0.0,true
1.conv.weight,parameter,conv_weight,torch.float32,torch.float32,true,true,0.0,0.0,true
1.bn.weight,parameter,bn_weight,torch.float32,torch.float32,true,true,0.0,0.0,true
1.bn.bias,parameter,bn_bias,torch.float32,torch.float32,true,true,0.0,0.0,true
1.bn.running_mean,buffer,bn_running_mean,torch.float32,torch.float32,false,true,0.0009317398071289062,0.0001300655203522183,true
1.bn.running_var,buffer,bn_running_var,torch.float32,torch.float32,false,true,0.0009667873382568359,0.00025611091405153275,true
1.bn.num_batches_tracked,buffer,bn_num_batches_tracked,torch.int64,torch.int64,true,true,0.0,0.0,true
2.cv1.conv.weight,parameter,conv_weight,torch.float32,torch.float32,true,true,0.0,0.0,true
2.cv1.bn.weight,parameter,bn_weight,torch.float32,torch.float32,true,true,0.0,0.0,true
2.cv1.bn.bias,parameter,bn_bias,torch.float32,torch.float32,true,true,0.0,0.0,true
2.cv1.bn.running_mean,buffer,bn_running_mean,torch.float32,torch.float32,false,true,0.0008265972137451172,0.00018118813022738323,true
2.cv1.bn.running_var,buffer,bn_running_var,torch.float32,torch.float32,false,true,0.0024557113647460938,0.0005323309451341629,true
2.cv1.bn.num_batches_tracked,buffer,bn_num_batches_tracked,torch.int64,torch.int64,true,true,0.0,0.0,true
2.cv2.conv.weight,parameter,conv_weight,torch.float32,torch.float32,true,true,0.0,0.0,true
2.cv2.bn.weight,parameter,bn_weight,torch.float32,torch.float32,true,true,0.0,0.0,true
2.cv2.bn.bias,parameter,bn_bias,torch.float32,torch.float32,true,true,0.0,0.0,true
2.cv2.bn.running_mean,buffer,bn_running_mean,torch.float32,torch.float32,false,true,0.00044167041778564453,8.014558989088982e-05,true
2.cv2.bn.running_var,buffer,bn_running_var,torch.float32,torch.float32,false,true,9.140372276306152e-05,2.4270382709801197e-05,true
2.cv2.bn.num_batches_tracked,buffer,bn_num_batches_tracked,torch.int64,torch.int64,true,true,0.0,0.0,true
2.m.0.cv1.conv.weight,parameter,conv_weight,torch.float32,torch.float32,true,true,0.0,0.0,true
2.m.0.cv1.bn.weight,parameter,bn_weight,torch.float32,torch.float32,true,true,0.0,0.0,true
2.m.0.cv1.bn.bias,parameter,bn_bias,torch.float32,torch.float32,true,true,0.0,0.0,true
2.m.0.cv1.bn.running_mean,buffer,bn_running_mean,torch.float32,torch.float32,false,true,0.0009343624114990234,0.00026132259517908096,true
2.m.0.cv1.bn.running_var,buffer,bn_running_var,torch.float32,torch.float32,false,true,0.00021791458129882812,7.551675662398338e-05,true
2.m.0.cv1.bn.num_batches_tracked,buffer,bn_num_batches_tracked,torch.int64,torch.int64,true,true,0.0,0.0,true
2.m.0.cv2.conv.weight,parameter,conv_weight,torch.float32,torch.float32,true,true,0.0,0.0,true
2.m.0.cv2.bn.weight,parameter,bn_weight,torch.float32,torch.float32,true,true,0.0,0.0,true
2.m.0.cv2.bn.bias,parameter,bn_bias,torch.float32,torch.float32,true,true,0.0,0.0,true
2.m.0.cv2.bn.running_mean,buffer,bn_running_mean,torch.float32,torch.float32,false,true,3.91155481338501e-05,1.2435921235010028e-05,true
2.m.0.cv2.bn.running_var,buffer,bn_running_var,torch.float32,torch.float32,false,true,1.8170103430747986e-06,8.859933586791158e-07,true
2.m.0.cv2.bn.num_batches_tracked,buffer,bn_num_batches_tracked,torch.int64,torch.int64,true,true,0.0,0.0,true
3.conv.weight,parameter,conv_weight,torch.float32,torch.float32,true,true,0.0,0.0,true
3.bn.weight,parameter,bn_weight,torch.float32,torch.float32,true,true,0.0,0.0,true
3.bn.bias,parameter,bn_bias,torch.float32,torch.float32,true,true,0.0,0.0,true
3.bn.running_mean,buffer,bn_running_mean,torch.float32,torch.float32,false,true,0.0008497238159179688,0.00012152773706475273,true
3.bn.running_var,buffer,bn_running_var,torch.float32,torch.float32,false,true,0.00045108795166015625,9.542005136609077e-05,true
3.bn.num_batches_tracked,buffer,bn_num_batches_tracked,torch.int64,torch.int64,true,true,0.0,0.0,true
4.cv1.conv.weight,parameter,conv_weight,torch.float32,torch.float32,true,true,0.0,0.0,true
4.cv1.bn.weight,parameter,bn_weight,torch.float32,torch.float32,true,true,0.0,0.0,true
4.cv1.bn.bias,parameter,bn_bias,torch.float32,torch.float32,true,true,0.0,0.0,true
4.cv1.bn.running_mean,buffer,bn_running_mean,torch.float32,torch.float32,false,true,0.00022983551025390625,6.167349783936515e-05,true
4.cv1.bn.running_var,buffer,bn_running_var,torch.float32,torch.float32,false,true,2.8230249881744385e-05,6.813497748225927e-06,true
4.cv1.bn.num_batches_tracked,buffer,bn_num_batches_tracked,torch.int64,torch.int64,true,true,0.0,0.0,true
4.cv2.conv.weight,parameter,conv_weight,torch.float32,torch.float32,true,true,0.0,0.0,true
4.cv2.bn.weight,parameter,bn_weight,torch.float32,torch.float32,true,true,0.0,0.0,true
4.cv2.bn.bias,parameter,bn_bias,torch.float32,torch.float32,true,true,0.0,0.0,true
4.cv2.bn.running_mean,buffer,bn_running_mean,torch.float32,torch.float32,false,true,0.00024056434631347656,5.756832797487732e-05,true
4.cv2.bn.running_var,buffer,bn_running_var,torch.float32,torch.float32,false,true,1.4781951904296875e-05,4.8951260396279395e-06,true
4.cv2.bn.num_batches_tracked,buffer,bn_num_batches_tracked,torch.int64,torch.int64,true,true,0.0,0.0,true
4.m.0.cv1.conv.weight,parameter,conv_weight,torch.float32,torch.float32,true,true,0.0,0.0,true
4.m.0.cv1.bn.weight,parameter,bn_weight,torch.float32,torch.float32,true,true,0.0,0.0,true
4.m.0.cv1.bn.bias,parameter,bn_bias,torch.float32,torch.float32,true,true,0.0,0.0,true
