name,shape,dtype_source,dtype_reload,parameter_or_buffer,tensor_category,old_byte_equal,exact_after_dtype_cast,max_abs_diff,mean_abs_diff
0.conv.weight,16x3x3x3,torch.float32,torch.float32,parameter,conv_weight,true,true,0.0,0.0
0.bn.weight,16,torch.float32,torch.float32,parameter,bn_weight,true,true,0.0,0.0
0.bn.bias,16,torch.float32,torch.float32,parameter,bn_bias,true,true,0.0,0.0
0.bn.running_mean,16,torch.float32,torch.float32,buffer,bn_running_mean,false,false,3.917515277862549e-05,5.325506720055273e-06
0.bn.running_var,16,torch.float32,torch.float32,buffer,bn_running_var,false,false,1.8891878426074982e-06,6.441737241402734e-07
0.bn.num_batches_tracked,,torch.int64,torch.int64,buffer,bn_num_batches_tracked,true,true,0.0,0.0
1.conv.weight,32x16x3x3,torch.float32,torch.float32,parameter,conv_weight,true,true,0.0,0.0
1.bn.weight,32,torch.float32,torch.float32,parameter,bn_weight,true,true,0.0,0.0
1.bn.bias,32,torch.float32,torch.float32,parameter,bn_bias,true,true,0.0,0.0
1.bn.running_mean,32,torch.float32,torch.float32,buffer,bn_running_mean,false,false,0.0009317398071289062,0.0001300655203522183
1.bn.running_var,32,torch.float32,torch.float32,buffer,bn_running_var,false,false,0.0009667873382568359,0.00025611091405153275
1.bn.num_batches_tracked,,torch.int64,torch.int64,buffer,bn_num_batches_tracked,true,true,0.0,0.0
2.cv1.conv.weight,32x32x1x1,torch.float32,torch.float32,parameter,conv_weight,true,true,0.0,0.0
2.cv1.bn.weight,32,torch.float32,torch.float32,parameter,bn_weight,true,true,0.0,0.0
2.cv1.bn.bias,32,torch.float32,torch.float32,parameter,bn_bias,true,true,0.0,0.0
2.cv1.bn.running_mean,32,torch.float32,torch.float32,buffer,bn_running_mean,false,false,0.0008265972137451172,0.00018118813022738323
2.cv1.bn.running_var,32,torch.float32,torch.float32,buffer,bn_running_var,false,false,0.0024557113647460938,0.0005323309451341629
2.cv1.bn.num_batches_tracked,,torch.int64,torch.int64,buffer,bn_num_batches_tracked,true,true,0.0,0.0
2.cv2.conv.weight,64x48x1x1,torch.float32,torch.float32,parameter,conv_weight,true,true,0.0,0.0
2.cv2.bn.weight,64,torch.float32,torch.float32,parameter,bn_weight,true,true,0.0,0.0
2.cv2.bn.bias,64,torch.float32,torch.float32,parameter,bn_bias,true,true,0.0,0.0
2.cv2.bn.running_mean,64,torch.float32,torch.float32,buffer,bn_running_mean,false,false,0.00044167041778564453,8.014558989088982e-05
2.cv2.bn.running_var,64,torch.float32,torch.float32,buffer,bn_running_var,false,false,9.140372276306152e-05,2.4270382709801197e-05
2.cv2.bn.num_batches_tracked,,torch.int64,torch.int64,buffer,bn_num_batches_tracked,true,true,0.0,0.0
2.m.0.cv1.conv.weight,8x16x3x3,torch.float32,torch.float32,parameter,conv_weight,true,true,0.0,0.0
2.m.0.cv1.bn.weight,8,torch.float32,torch.float32,parameter,bn_weight,true,true,0.0,0.0
2.m.0.cv1.bn.bias,8,torch.float32,torch.float32,parameter,bn_bias,true,true,0.0,0.0
2.m.0.cv1.bn.running_mean,8,torch.float32,torch.float32,buffer,bn_running_mean,false,false,0.0009343624114990234,0.00026132259517908096
2.m.0.cv1.bn.running_var,8,torch.float32,torch.float32,buffer,bn_running_var,false,false,0.00021791458129882812,7.551675662398338e-05
2.m.0.cv1.bn.num_batches_tracked,,torch.int64,torch.int64,buffer,bn_num_batches_tracked,true,true,0.0,0.0
2.m.0.cv2.conv.weight,16x8x3x3,torch.float32,torch.float32,parameter,conv_weight,true,true,0.0,0.0
2.m.0.cv2.bn.weight,16,torch.float32,torch.float32,parameter,bn_weight,true,true,0.0,0.0
2.m.0.cv2.bn.bias,16,torch.float32,torch.float32,parameter,bn_bias,true,true,0.0,0.0
2.m.0.cv2.bn.running_mean,16,torch.float32,torch.float32,buffer,bn_running_mean,false,false,3.91155481338501e-05,1.2435921235010028e-05
2.m.0.cv2.bn.running_var,16,torch.float32,torch.float32,buffer,bn_running_var,false,false,1.8170103430747986e-06,8.859933586791158e-07
2.m.0.cv2.bn.num_batches_tracked,,torch.int64,torch.int64,buffer,bn_num_batches_tracked,true,true,0.0,0.0
3.conv.weight,64x64x3x3,torch.float32,torch.float32,parameter,conv_weight,true,true,0.0,0.0
3.bn.weight,64,torch.float32,torch.float32,parameter,bn_weight,true,true,0.0,0.0
3.bn.bias,64,torch.float32,torch.float32,parameter,bn_bias,true,true,0.0,0.0
3.bn.running_mean,64,torch.float32,torch.float32,buffer,bn_running_mean,false,false,0.0008497238159179688,0.00012152773706475273
3.bn.running_var,64,torch.float32,torch.float32,buffer,bn_running_var,false,false,0.00045108795166015625,9.542005136609077e-05
3.bn.num_batches_tracked,,torch.int64,torch.int64,buffer,bn_num_batches_tracked,true,true,0.0,0.0
4.cv1.conv.weight,64x64x1x1,torch.float32,torch.float32,parameter,conv_weight,true,true,0.0,0.0
4.cv1.bn.weight,64,torch.float32,torch.float32,parameter,bn_weight,true,true,0.0,0.0
4.cv1.bn.bias,64,torch.float32,torch.float32,parameter,bn_bias,true,true,0.0,0.0
