supcon {'epoch': 1, 'loss': 1.4523595968882244, 'ce_loss': 1.0334432415473156, 'supcon_loss': 4.189163464766282, 'embedding_std': 0.7983671931120065, 'accuracy': 0.5489864864864865, 'macro_f1': 0.48893531596509765}
supcon {'epoch': 2, 'loss': 0.899236417733706, 'ce_loss': 0.5305532545615466, 'supcon_loss': 3.686831535437168, 'embedding_std': 0.8440568554095733, 'accuracy': 0.5912162162162162, 'macro_f1': 0.5762484602236546}
supcon {'epoch': 3, 'loss': 0.7454755703608195, 'ce_loss': 0.3989691314024803, 'supcon_loss': 3.4650643116388564, 'embedding_std': 0.8574751890622653, 'accuracy': 0.5844594594594594, 'macro_f1': 0.6033198473445206}
supcon {'epoch': 4, 'loss': 0.637196231346864, 'ce_loss': 0.30477056977076405, 'supcon_loss': 3.324256542401436, 'embedding_std': 0.8620050518940656, 'accuracy': 0.6148648648648649, 'macro_f1': 0.5999332007204009}
supcon {'epoch': 5, 'loss': 0.5552309201313899, 'ce_loss': 0.23448266031650397, 'supcon_loss': 3.2074825702569423, 'embedding_std': 0.8657994193908496, 'accuracy': 0.6131756756756757, 'macro_f1': 0.610724981863763}
supcon {'epoch': 6, 'loss': 0.5147176201526935, 'ce_loss': 0.2000159386258859, 'supcon_loss': 3.1470167698004308, 'embedding_std': 0.872826065772619, 'accuracy': 0.6351351351351351, 'macro_f1': 0.6256790237375167}
supcon {'epoch': 7, 'loss': 0.46291815699675143, 'ce_loss': 0.15656678168437418, 'supcon_loss': 3.063513694665371, 'embedding_std': 0.8810255817877941, 'accuracy': 0.6182432432432432, 'macro_f1': 0.5890289777183888}
supcon {'epoch': 8, 'loss': 0.47028087346981734, 'ce_loss': 0.16369032286680663, 'supcon_loss': 3.065905436491355, 'embedding_std': 0.883497919791784, 'accuracy': 0.6385135135135135, 'macro_f1': 0.6416448640856751}
supcon {'epoch': 9, 'loss': 0.4420916109513014, 'ce_loss': 0.13998577285271424, 'supcon_loss': 3.0210583332257395, 'embedding_std': 0.8887889446356357, 'accuracy': 0.643581081081081, 'macro_f1': 0.6410535526521917}
supcon {'epoch': 10, 'loss': 0.412543393098391, 'ce_loss': 0.11366208480336727, 'supcon_loss': 2.9888130395840378, 'embedding_std': 0.888945588698754, 'accuracy': 0.6469594594594594, 'macro_f1': 0.6529287866698248}
supcon {'epoch': 11, 'loss': 0.40223141740529966, 'ce_loss': 0.10399947592463249, 'supcon_loss': 2.982319373350877, 'embedding_std': 0.8875583456112788, 'accuracy': 0.6418918918918919, 'macro_f1': 0.64337976251571}
supcon {'epoch': 12, 'loss': 0.39083539293362546, 'ce_loss': 0.09554336888667865, 'supcon_loss': 2.9529202045538487, 'embedding_std': 0.8890429704617231, 'accuracy': 0.6418918918918919, 'macro_f1': 0.619865764887751}
supcon {'epoch': 13, 'loss': 0.37558248257025695, 'ce_loss': 0.08241493030427358, 'supcon_loss': 2.9316754707923303, 'embedding_std': 0.8909070400091318, 'accuracy': 0.6418918918918919, 'macro_f1': 0.6496990111437089}
supcon {'epoch': 14, 'loss': 0.3547099706454155, 'ce_loss': 0.06409003131855757, 'supcon_loss': 2.9061993268819957, 'embedding_std': 0.8958628345758487, 'accuracy': 0.6587837837837838, 'macro_f1': 0.6318443857625717}
supcon {'epoch': 15, 'loss': 0.34877826617314267, 'ce_loss': 0.060063961176918104, 'supcon_loss': 2.887142994464972, 'embedding_std': 0.9042322436968485, 'accuracy': 0.6756756756756757, 'macro_f1': 0.6538272680182273}
supcon {'epoch': 16, 'loss': 0.3438529242307712, 'ce_loss': 0.05539626580400345, 'supcon_loss': 2.8845665271465597, 'embedding_std': 0.9012228922966199, 'accuracy': 0.6722972972972973, 'macro_f1': 0.6473600508996471}
supcon {'epoch': 17, 'loss': 0.3444485251720135, 'ce_loss': 0.05580669929249547, 'supcon_loss': 2.8864182142110972, 'embedding_std': 0.9072418533838712, 'accuracy': 0.6469594594594594, 'macro_f1': 0.6336202883920581}
supcon {'epoch': 18, 'loss': 0.32560041623237806, 'ce_loss': 0.04027394257867948, 'supcon_loss': 2.8532646802755504, 'embedding_std': 0.9083397250909072, 'accuracy': 0.660472972972973, 'macro_f1': 0.6496342409947975}
supcon {'epoch': 19, 'loss': 0.31961342768791395, 'ce_loss': 0.036028907395517215, 'supcon_loss': 2.8358451280838404, 'embedding_std': 0.9150916781180944, 'accuracy': 0.6402027027027027, 'macro_f1': 0.6461639087544734}
supcon {'epoch': 20, 'loss': 0.33857667675385106, 'ce_loss': 0.0517869665979957, 'supcon_loss': 2.8678970336914062, 'embedding_std': 0.9099244719896561, 'accuracy': 0.6233108108108109, 'macro_f1': 0.6344585800939735}
supcon {'epoch': 21, 'loss': 0.328959869268613, 'ce_loss': 0.043196210088447116, 'supcon_loss': 2.8576365434206448, 'embedding_std': 0.9098111788431803, 'accuracy': 0.643581081081081, 'macro_f1': 0.6476802564489132}
supcon {'epoch': 22, 'loss': 0.32868074683042675, 'ce_loss': 0.04330796890486127, 'supcon_loss': 2.8537277441758375, 'embedding_std': 0.916134394132174, 'accuracy': 0.6537162162162162, 'macro_f1': 0.669466586823618}
supcon {'epoch': 23, 'loss': 0.3174862135679294, 'ce_loss': 0.0342241199567723, 'supcon_loss': 2.832620871372712, 'embedding_std': 0.9198291637958624, 'accuracy': 0.6706081081081081, 'macro_f1': 0.6745291612250619}
supcon {'epoch': 24, 'loss': 0.3083648979663849, 'ce_loss': 0.025589893530242335, 'supcon_loss': 2.8277499920282607, 'embedding_std': 0.9187895686198504, 'accuracy': 0.6638513513513513, 'macro_f1': 0.6487373898420854}
supcon {'epoch': 25, 'loss': 0.3003074404520866, 'ce_loss': 0.01941650838423998, 'supcon_loss': 2.8089092511397142, 'embedding_std': 0.9189111024905474, 'accuracy': 0.6672297297297297, 'macro_f1': 0.6633039127251725}
supcon {'epoch': 26, 'loss': 0.30325366594852543, 'ce_loss': 0.0215219037893873, 'supcon_loss': 2.817317540828998, 'embedding_std': 0.9211488962173462, 'accuracy': 0.6570945945945946, 'macro_f1': 0.644138589994556}
supcon {'epoch': 27, 'loss': 0.2943159907292097, 'ce_loss': 0.014673046427420698, 'supcon_loss': 2.796429407902253, 'embedding_std': 0.925190289815267, 'accuracy': 0.6722972972972973, 'macro_f1': 0.6507291486809399}
supcon {'epoch': 28, 'loss': 0.2996432498479501, 'ce_loss': 0.01870398235340149, 'supcon_loss': 2.8093926234123034, 'embedding_std': 0.928482880959144, 'accuracy': 0.6722972972972973, 'macro_f1': 0.6494055711197255}
supcon {'epoch': 29, 'loss': 0.3065680922606053, 'ce_loss': 0.024220919129080497, 'supcon_loss': 2.8234716928922214, 'embedding_std': 0.9300904701917599, 'accuracy': 0.6503378378378378, 'macro_f1': 0.6390270681737593}
supcon {'epoch': 30, 'loss': 0.316671398969797, 'ce_loss': 0.03248923037869808, 'supcon_loss': 2.841821646079039, 'embedding_std': 0.9251905236488733, 'accuracy': 0.6418918918918919, 'macro_f1': 0.6132210674222525}
supcon {'epoch': 31, 'loss': 0.31590823638133514, 'ce_loss': 0.03142595307853741, 'supcon_loss': 2.8448227552267222, 'embedding_std': 0.9296577802071204, 'accuracy': 0.6537162162162162, 'macro_f1': 0.6296133539704974}
supcon {'epoch': 32, 'loss': 0.31765658809588504, 'ce_loss': 0.03296696158269277, 'supcon_loss': 2.846896232702793, 'embedding_std': 0.9276904601317185, 'accuracy': 0.668918918918919, 'macro_f1': 0.6325845907178014}
supcon {'epoch': 33, 'loss': 0.3094090292086968, 'ce_loss': 0.026976587250828743, 'supcon_loss': 2.824324363317245, 'embedding_std': 0.9298626322012681, 'accuracy': 0.6587837837837838, 'macro_f1': 0.6483476258657292}
supcon {'epoch': 34, 'loss': 0.3114378368243193, 'ce_loss': 0.028395351452323105, 'supcon_loss': 2.8304247978406076, 'embedding_std': 0.9277639939234807, 'accuracy': 0.660472972972973, 'macro_f1': 0.6497725874008983}
supcon {'epoch': 35, 'loss': 0.30688440876129347, 'ce_loss': 0.025227069568175536, 'supcon_loss': 2.8165733264042783, 'embedding_std': 0.9244629450333424, 'accuracy': 0.660472972972973, 'macro_f1': 0.660062484760765}
supcon {'epoch': 36, 'loss': 0.3054504830103654, 'ce_loss': 0.023625125589135747, 'supcon_loss': 2.818253511037582, 'embedding_std': 0.9254855238474332, 'accuracy': 0.6418918918918919, 'macro_f1': 0.649406934660787}
supcon {'epoch': 37, 'loss': 0.2986534788058354, 'ce_loss': 0.01794244234378521, 'supcon_loss': 2.8071102790343456, 'embedding_std': 0.9316939971385858, 'accuracy': 0.6722972972972973, 'macro_f1': 0.6706797052054947}
supcon {'epoch': 38, 'loss': 0.2907860783430246, 'ce_loss': 0.01172870408015278, 'supcon_loss': 2.790573688653799, 'embedding_std': 0.9295606735425118, 'accuracy': 0.6739864864864865, 'macro_f1': 0.6794859374594289}
supcon {'epoch': 39, 'loss': 0.2916241272901877, 'ce_loss': 0.012014075325658688, 'supcon_loss': 2.796100457509359, 'embedding_std': 0.9310107338122833, 'accuracy': 0.6739864864864865, 'macro_f1': 0.6752810145743278}
supcon {'epoch': 40, 'loss': 0.2905702178294842, 'ce_loss': 0.011551588328961188, 'supcon_loss': 2.7901862278962746, 'embedding_std': 0.9378658533096313, 'accuracy': 0.668918918918919, 'macro_f1': 0.6762541505413355}
supcon {'epoch': 41, 'loss': 0.2857567759660574, 'ce_loss': 0.007683575323496301, 'supcon_loss': 2.7807319225409093, 'embedding_std': 0.9379180715634272, 'accuracy': 0.6790540540540541, 'macro_f1': 0.6828282744937493}
supcon {'epoch': 42, 'loss': 0.2889503171810737, 'ce_loss': 0.009673651507816827, 'supcon_loss': 2.7927666199512973, 'embedding_std': 0.9400912538552896, 'accuracy': 0.6976351351351351, 'macro_f1': 0.6936984075290706}
supcon {'epoch': 43, 'loss': 0.28407693214905566, 'ce_loss': 0.0067552023818000006, 'supcon_loss': 2.7732172929323635, 'embedding_std': 0.9437501247112567, 'accuracy': 0.6824324324324325, 'macro_f1': 0.6585987680375401}
supcon {'epoch': 44, 'loss': 0.28872665151571614, 'ce_loss': 0.009620875905220134, 'supcon_loss': 2.7910577089358597, 'embedding_std': 0.9411354752687308, 'accuracy': 0.652027027027027, 'macro_f1': 0.6632819573015681}
supcon {'epoch': 45, 'loss': 0.28660155565310746, 'ce_loss': 0.007984329498587893, 'supcon_loss': 2.7861722065852237, 'embedding_std': 0.9377734110905573, 'accuracy': 0.660472972972973, 'macro_f1': 0.6558113547624056}
