section,result_scope,method,domain,P,R,mAP50,mAP50_95,notes
FINAL_TEST,ONE_FINAL_FROZEN_EVALUATION,Baseline seed44,Box,0.6623845851033376,0.4749269181535191,0.5416358687031739,0.29325312862397146,147 images; 285 instances; no post-test selection
FINAL_TEST,ONE_FINAL_FROZEN_EVALUATION,Baseline seed44,Mask,0.6807274095275775,0.4986543401568032,0.5827035545703015,0.2716207089319057,147 images; 285 instances; no post-test selection
VAL_MULTI_SEED,EXP10_UNIFIED_VAL,baseline100 seed42,Mask,0.6629227853627156,0.5230236529730811,0.5319196336254952,0.29898123412927496,VAL only; must not be compared as TEST
VAL_MULTI_SEED,EXP10_UNIFIED_VAL,uniform_control30 seed42,Mask,0.7277493965582085,0.43759266732922925,0.514963101505378,0.2809637607266954,VAL only; must not be compared as TEST
VAL_MULTI_SEED,EXP10_UNIFIED_VAL,hard_treatment30 seed42,Mask,0.5791903261537934,0.5584482795346376,0.5357743104404221,0.3113180661075626,VAL only; must not be compared as TEST
VAL_MULTI_SEED,EXP10_UNIFIED_VAL,baseline100 seed43,Mask,0.7122006946487235,0.48892184826197743,0.5252998124449814,0.29950558246122316,VAL only; must not be compared as TEST
VAL_MULTI_SEED,EXP10_UNIFIED_VAL,uniform_control30 seed43,Mask,0.7015648607281467,0.5242825960470945,0.5899812952521836,0.32839910651463605,VAL only; must not be compared as TEST
VAL_MULTI_SEED,EXP10_UNIFIED_VAL,hard_treatment30 seed43,Mask,0.7214204343050934,0.5287151997019166,0.6123445876592134,0.32172581608685324,VAL only; must not be compared as TEST
VAL_MULTI_SEED,EXP10_UNIFIED_VAL,baseline100 seed44,Mask,0.7539848824742483,0.49452691608814625,0.5801919739236168,0.3251567516159603,VAL only; must not be compared as TEST
VAL_MULTI_SEED,EXP10_UNIFIED_VAL,uniform_control30 seed44,Mask,0.7223671177346852,0.5795102674010854,0.6138443231444285,0.3417600378767482,VAL only; must not be compared as TEST
VAL_MULTI_SEED,EXP10_UNIFIED_VAL,hard_treatment30 seed44,Mask,0.7771236631100867,0.4582676499933213,0.5351177445966027,0.3014491938472924,VAL only; must not be compared as TEST
SYSTEM_DIAGNOSTIC,FIXED_THRESHOLD_TEST,Baseline seed44 conf0.25,Mask matched IoU0.50,0.5570175438596491,0.4456140350877193,,,TP=127; FP=101; FN=158; F1=0.49512670565302147
