seed,image_stem,hard_score,FN,wrong_class,localization_failure,FP,is_hard
43,1,9,3,0,0,0,True
43,2,3,1,0,0,0,True
43,3,7,0,0,3,1,True
43,6,1,0,0,0,1,False
43,7,9,0,0,4,1,True
43,8,0,0,0,0,0,False
43,9,12,0,0,4,4,True
43,12,7,0,0,3,1,True
43,13,2,0,0,1,0,False
43,14,8,2,0,1,0,True
43,15,3,1,0,0,0,True
43,17,6,1,0,1,1,True
43,18,11,2,0,2,1,True
43,20,15,2,1,2,3,True
43,21,3,1,0,0,0,True
43,23,2,0,0,1,0,False
43,24,15,3,1,1,2,True
43,26,17,4,1,0,3,True
43,27,2,0,0,1,0,False
43,28,0,0,0,0,0,False
43,29,2,0,0,1,0,False
43,31,13,3,0,2,0,True
43,33,19,0,0,7,5,True
43,34,0,0,0,0,0,False
43,37,7,0,0,1,5,True
43,38,13,4,0,0,1,True
43,43,2,0,0,1,0,False
43,44,6,2,0,0,0,True
43,48,7,0,0,3,1,True
43,49,1,0,0,0,1,False
43,50,11,1,0,2,4,True
43,52,3,0,0,1,1,False
43,53,1,0,0,0,1,False
43,54,14,1,0,4,3,True
43,55,4,0,0,1,2,True
43,56,9,3,0,0,0,True
43,57,4,0,0,2,0,True
43,58,16,2,0,4,2,True
43,59,1,0,0,0,1,False
43,63,5,0,0,2,1,True
43,64,6,0,0,2,2,True
43,65,3,1,0,0,0,False
43,66,0,0,0,0,0,False
43,67,2,0,0,0,2,False
43,68,0,0,0,0,0,False
43,69,3,1,0,0,0,False
43,71,13,0,0,6,1,True
43,72,2,0,1,0,0,False
43,73,3,1,0,0,0,False
43,75,3,1,0,0,0,False
43,76,2,0,0,1,0,False
43,79,3,1,0,0,0,False
43,80,0,0,0,0,0,False
43,81,6,1,1,0,1,True
43,82,3,1,0,0,0,False
43,83,3,0,0,1,1,False
43,84,6,2,0,0,0,True
43,85,6,2,0,0,0,True
43,86,1,0,0,0,1,False
43,88,3,0,0,1,1,False
43,89,0,0,0,0,0,False
43,91,0,0,0,0,0,False
43,93,3,0,0,1,1,False
43,94,3,1,0,0,0,False
43,95,7,1,0,1,2,True
43,96,6,0,2,0,2,True
43,97,4,0,0,2,0,True
43,98,7,0,0,3,1,True
43,99,7,1,0,2,0,True
43,100,3,1,0,0,0,True
43,101,9,3,0,0,0,True
43,102,6,1,0,1,1,True
43,103,10,0,1,2,4,True
43,104,2,0,0,0,2,False
43,105,3,1,0,0,0,True
43,106,2,0,0,1,0,False
43,107,3,1,0,0,0,True
43,108,9,3,0,0,0,True
43,109,3,0,0,1,1,True
43,110,4,0,0,2,0,True
43,111,4,1,0,0,1,True
43,113,3,0,0,1,1,True
43,114,4,1,0,0,1,True
43,115,3,1,0,0,0,True
43,117,3,0,0,1,1,True
43,119,6,2,0,0,0,True
43,120,4,0,0,1,2,True
43,123,6,2,0,0,0,True
43,124,9,3,0,0,0,True
43,129,10,3,0,0,1,True
43,131,3,1,0,0,0,True
43,132,3,0,0,0,3,True
43,133,8,0,0,2,4,True
43,135,5,1,0,0,2,True
43,136,4,0,0,1,2,True
43,137,3,1,0,0,0,True
43,139,3,1,0,0,0,True
43,141,6,2,0,0,0,True
43,143,6,1,0,1,1,True
43,144,0,0,0,0,0,False
43,146,4,1,0,0,1,True
43,147,3,0,0,1,1,True
43,148,3,1,0,0,0,True
43,149,3,1,0,0,0,True
43,151,12,4,0,0,0,True
43,153,6,2,0,0,0,True
43,154,2,0,0,0,2,False
43,155,9,0,0,2,5,True
43,156,1,0,0,0,1,False
43,157,2,0,0,0,2,False
43,165,6,0,0,2,2,True
43,166,0,0,0,0,0,False
43,167,4,1,0,0,1,True
43,168,1,0,0,0,1,False
43,169,11,0,0,5,1,True
43,170,10,3,0,0,1,True
43,171,7,0,0,3,1,True
43,173,13,0,1,4,3,True
43,175,7,2,0,0,1,True
43,176,1,0,0,0,1,False
43,177,7,2,0,0,1,True
43,179,3,1,0,0,0,True
43,180,9,3,0,0,0,True
43,182,0,0,0,0,0,False
43,184,3,1,0,0,0,True
43,185,6,0,0,1,4,True
43,188,5,1,0,1,0,True
43,189,3,1,0,0,0,True
43,190,3,1,0,0,0,True
43,191,2,0,0,1,0,False
43,192,3,0,0,1,1,True
43,193,3,1,0,0,0,True
43,195,0,0,0,0,0,False
43,196,4,1,0,0,1,True
43,197,10,0,0,3,4,True
43,198,11,1,1,2,2,True
43,199,5,0,0,1,3,True
43,202,3,1,0,0,0,True
43,205,3,0,0,1,1,True
43,206,5,0,0,2,1,True
43,207,12,2,1,1,2,True
43,208,4,1,0,0,1,True
43,209,7,2,0,0,1,True
43,210,11,0,0,5,1,True
43,213,4,0,0,0,4,True
43,215,9,3,0,0,0,True
43,216,4,0,1,0,2,True
43,217,0,0,0,0,0,False
43,219,5,1,0,1,0,True
43,220,0,0,0,0,0,False
43,221,3,1,0,0,0,True
43,222,9,3,0,0,0,True
43,223,2,0,0,0,2,False
43,224,0,0,0,0,0,False
43,225,4,0,0,2,0,True
43,227,6,2,0,0,0,True
43,228,3,0,0,0,3,True
43,233,0,0,0,0,0,False
43,234,3,1,0,0,0,True
43,235,7,0,0,3,1,True
43,236,3,0,0,1,1,True
43,237,3,1,0,0,0,True
43,238,7,1,0,1,2,True
43,239,3,1,0,0,0,True
43,240,4,0,0,0,4,True
43,243,4,1,0,0,1,True
43,249,3,1,0,0,0,True
43,250,3,1,0,0,0,True
43,252,3,0,0,1,1,True
43,253,4,1,0,0,1,True
43,254,2,0,0,1,0,False
43,255,5,1,0,1,0,True
43,257,1,0,0,0,1,False
43,258,2,0,0,1,0,False
43,259,2,0,0,1,0,False
43,260,3,0,0,1,1,True
43,261,0,0,0,0,0,False
43,263,0,0,0,0,0,False
43,264,8,1,1,1,1,True
43,265,3,1,0,0,0,True
43,266,12,2,0,2,2,True
43,268,3,0,0,1,1,True
43,269,4,0,0,2,0,True
43,270,2,0,0,1,0,False
43,271,0,0,0,0,0,False
43,272,4,1,0,0,1,True
43,273,0,0,0,0,0,False
43,274,4,1,0,0,1,True
43,275,12,0,0,2,8,True
43,276,0,0,0,0,0,False
43,277,2,0,0,1,0,False
43,278,0,0,0,0,0,False
43,279,0,0,0,0,0,False
43,281,0,0,0,0,0,False
43,282,6,2,0,0,0,True
43,283,6,2,0,0,0,True
43,284,6,2,0,0,0,True
43,285,3,1,0,0,0,True
43,286,9,3,0,0,0,True
43,287,6,2,0,0,0,True
43,288,4,1,0,0,1,True
43,289,5,0,0,2,1,True
43,290,6,1,0,1,1,True
43,291,6,2,0,0,0,True
43,292,5,0,0,1,3,True
43,294,0,0,0,0,0,False
43,295,0,0,0,0,0,False
43,296,4,1,0,0,1,True
43,297,9,2,1,0,1,True
43,299,3,1,0,0,0,True
43,300,5,0,1,1,1,True
43,301,3,1,0,0,0,True
43,302,3,1,0,0,0,False
43,303,0,0,0,0,0,False
43,304,8,1,0,1,3,True
43,305,10,1,0,2,3,True
43,306,3,1,0,0,0,False
43,307,6,0,0,2,2,True
43,311,6,2,0,0,0,True
43,312,3,1,0,0,0,False
43,313,9,2,0,1,1,True
43,314,15,0,0,2,11,True
43,315,9,3,0,0,0,True
43,316,11,2,0,1,3,True
43,317,1,0,0,0,1,False
43,318,0,0,0,0,0,False
43,319,3,0,0,1,1,False
43,321,0,0,0,0,0,False
43,322,6,0,0,1,4,True
43,325,2,0,0,0,2,False
43,326,2,0,0,0,2,False
43,327,2,0,0,1,0,False
43,329,6,1,0,1,1,True
43,331,30,10,0,0,0,True
43,332,2,0,0,0,2,False
43,333,4,0,0,1,2,True
43,334,1,0,0,0,1,False
43,335,9,0,1,1,5,True
43,336,0,0,0,0,0,False
43,337,5,0,0,2,1,True
43,338,3,1,0,0,0,False
43,339,5,0,0,2,1,True
43,341,0,0,0,0,0,False
43,343,6,2,0,0,0,True
43,344,0,0,0,0,0,False
43,345,8,0,0,3,2,True
43,346,5,0,0,2,1,True
43,347,3,1,0,0,0,False
43,348,1,0,0,0,1,False
43,349,0,0,0,0,0,False
43,352,2,0,0,1,0,False
43,354,3,1,0,0,0,False
43,355,2,0,0,1,0,False
43,356,9,3,0,0,0,True
43,358,5,0,0,1,3,True
43,359,4,0,0,2,0,True
43,360,3,1,0,0,0,False
43,362,1,0,0,0,1,False
43,363,0,0,0,0,0,False
43,365,3,0,0,1,1,False
43,366,0,0,0,0,0,False
43,367,0,0,0,0,0,False
43,368,3,1,0,0,0,False
43,369,0,0,0,0,0,False
43,374,7,0,0,2,3,True
43,376,3,1,0,0,0,False
43,377,9,0,1,2,3,True
43,378,3,0,1,0,1,False
43,379,3,0,0,1,1,False
43,382,1,0,0,0,1,False
43,384,11,0,0,3,5,True
43,385,3,0,0,1,1,False
43,386,4,1,0,0,1,True
43,387,1,0,0,0,1,False
43,388,11,3,0,1,0,True
43,389,9,3,0,0,0,True
43,391,12,2,0,2,2,True
43,393,6,2,0,0,0,True
43,394,1,0,0,0,1,False
43,395,2,0,1,0,0,False
43,396,5,0,0,2,1,True
43,397,2,0,0,1,0,False
43,398,13,0,1,5,1,True
43,399,4,0,0,2,0,True
43,401,8,0,0,2,4,True
43,402,3,1,0,0,0,False
43,404,3,0,0,1,1,False
43,405,0,0,0,0,0,False
43,407,7,2,0,0,1,True
43,410,3,1,0,0,0,False
43,412,3,0,0,1,1,False
43,413,13,2,1,2,1,True
43,415,1,0,0,0,1,False
43,417,7,1,1,0,2,True
43,418,1,0,0,0,1,False
43,419,0,0,0,0,0,False
43,420,1,0,0,0,1,False
43,421,5,0,0,2,1,True
43,423,6,2,0,0,0,True
43,424,2,0,0,1,0,False
43,426,6,0,0,3,0,True
43,427,0,0,0,0,0,False
43,428,3,0,0,1,1,False
43,429,3,1,0,0,0,False
43,431,6,2,0,0,0,True
43,434,0,0,0,0,0,False
43,435,3,1,0,0,0,False
43,436,0,0,0,0,0,False
43,439,0,0,0,0,0,False
43,441,1,0,0,0,1,False
43,442,0,0,0,0,0,False
43,443,1,0,0,0,1,False
43,444,0,0,0,0,0,False
43,445,1,0,0,0,1,False
43,446,0,0,0,0,0,False
43,447,0,0,0,0,0,False
43,448,0,0,0,0,0,False
43,449,0,0,0,0,0,False
43,450,0,0,0,0,0,False
43,451,0,0,0,0,0,False
43,452,0,0,0,0,0,False
43,455,0,0,0,0,0,False
43,456,0,0,0,0,0,False
43,457,1,0,0,0,1,False
43,458,0,0,0,0,0,False
43,459,0,0,0,0,0,False
43,461,0,0,0,0,0,False
43,462,1,0,0,0,1,False
43,463,0,0,0,0,0,False
43,465,0,0,0,0,0,False
43,466,0,0,0,0,0,False
43,467,0,0,0,0,0,False
43,468,2,0,0,0,2,False
43,469,2,0,0,0,2,False
43,470,0,0,0,0,0,False
43,471,0,0,0,0,0,False
43,474,2,0,0,0,2,False
43,476,2,0,0,1,0,False
43,478,4,0,0,1,2,True
43,480,1,0,0,0,1,False
43,481,1,0,0,0,1,False
43,482,9,0,0,4,1,True
43,483,0,0,0,0,0,False
43,485,1,0,0,0,1,False
43,486,0,0,0,0,0,False
43,487,4,0,0,1,2,True
43,488,4,0,0,1,2,True
43,489,8,0,0,3,2,True
43,492,0,0,0,0,0,False
43,494,3,1,0,0,0,False
43,495,0,0,0,0,0,False
43,497,1,0,0,0,1,False
43,498,0,0,0,0,0,False
43,499,1,0,0,0,1,False
43,501,0,0,0,0,0,False
43,503,0,0,0,0,0,False
43,505,1,0,0,0,1,False
43,508,1,0,0,0,1,False
43,510,2,0,0,1,0,False
43,512,0,0,0,0,0,False
43,513,1,0,0,0,1,False
43,514,2,0,0,0,2,False
43,518,0,0,0,0,0,False
43,520,1,0,0,0,1,False
43,524,0,0,0,0,0,False
43,526,0,0,0,0,0,False
43,528,1,0,0,0,1,False
43,529,1,0,0,0,1,False
43,530,0,0,0,0,0,False
43,531,1,0,0,0,1,False
43,532,1,0,0,0,1,False
43,533,1,0,0,0,1,False
43,534,0,0,0,0,0,False
43,536,1,0,0,0,1,False
43,537,1,0,0,0,1,False
43,541,7,0,0,3,1,True
43,542,0,0,0,0,0,False
43,544,1,0,0,0,1,False
43,546,0,0,0,0,0,False
43,547,0,0,0,0,0,False
43,551,0,0,0,0,0,False
43,553,2,0,0,1,0,False
43,556,1,0,0,0,1,False
43,557,0,0,0,0,0,False
43,558,1,0,0,0,1,False
43,559,3,0,0,1,1,False
43,560,0,0,0,0,0,False
43,562,5,0,0,1,3,True
43,563,0,0,0,0,0,False
43,567,0,0,0,0,0,False
43,569,0,0,0,0,0,False
43,570,0,0,0,0,0,False
43,572,4,0,0,2,0,True
43,573,0,0,0,0,0,False
43,578,2,0,0,1,0,False
43,579,0,0,0,0,0,False
43,580,1,0,0,0,1,False
43,582,1,0,0,0,1,False
43,583,0,0,0,0,0,False
43,584,11,0,0,3,5,True
43,585,0,0,0,0,0,False
43,586,0,0,0,0,0,False
43,588,2,0,0,0,2,False
43,590,0,0,0,0,0,False
43,591,1,0,0,0,1,False
43,593,4,0,0,1,2,True
43,594,0,0,0,0,0,False
43,602,2,0,0,0,2,False
43,604,0,0,0,0,0,False
43,606,0,0,0,0,0,False
43,608,2,0,0,0,2,False
43,610,1,0,0,0,1,False
43,612,0,0,0,0,0,False
43,613,0,0,0,0,0,False
43,615,1,0,0,0,1,False
43,616,0,0,0,0,0,False
43,617,3,0,0,1,1,False
43,618,2,0,0,1,0,False
43,619,1,0,0,0,1,False
43,620,2,0,0,0,2,False
43,621,0,0,0,0,0,False
43,622,1,0,0,0,1,False
43,623,5,0,0,2,1,True
43,624,14,0,0,5,4,True
43,626,3,0,0,1,1,False
43,627,0,0,0,0,0,False
43,628,0,0,0,0,0,False
43,630,1,0,0,0,1,False
43,631,0,0,0,0,0,False
43,632,1,0,0,0,1,False
43,633,13,0,0,2,9,True
43,634,1,0,0,0,1,False
43,636,0,0,0,0,0,False
43,637,0,0,0,0,0,False
43,638,0,0,0,0,0,False
43,639,0,0,0,0,0,False
43,640,0,0,0,0,0,False
43,641,1,0,0,0,1,False
43,642,0,0,0,0,0,False
43,645,0,0,0,0,0,False
43,650,0,0,0,0,0,False
43,652,1,0,0,0,1,False
43,653,1,0,0,0,1,False
43,654,0,0,0,0,0,False
43,655,0,0,0,0,0,False
43,656,0,0,0,0,0,False
43,658,0,0,0,0,0,False
43,659,0,0,0,0,0,False
43,661,0,0,0,0,0,False
43,663,0,0,0,0,0,False
43,665,0,0,0,0,0,False
43,666,0,0,0,0,0,False
43,667,0,0,0,0,0,False
43,670,0,0,0,0,0,False
43,672,0,0,0,0,0,False
43,674,0,0,0,0,0,False
43,675,0,0,0,0,0,False
43,676,0,0,0,0,0,False
43,678,0,0,0,0,0,False
43,679,0,0,0,0,0,False
43,682,0,0,0,0,0,False
43,683,0,0,0,0,0,False
43,685,0,0,0,0,0,False
43,688,0,0,0,0,0,False
43,689,1,0,0,0,1,False
43,690,0,0,0,0,0,False
43,694,0,0,0,0,0,False
43,695,2,0,0,0,2,False
43,696,4,1,0,0,1,True
43,697,2,0,0,0,2,False
43,698,0,0,0,0,0,False
43,699,0,0,0,0,0,False
43,701,0,0,0,0,0,False
43,702,1,0,0,0,1,False
43,705,0,0,0,0,0,False
43,707,0,0,0,0,0,False
43,708,0,0,0,0,0,False
43,710,0,0,0,0,0,False
43,711,0,0,0,0,0,False
43,712,0,0,0,0,0,False
43,714,0,0,0,0,0,False
43,715,0,0,0,0,0,False
43,716,0,0,0,0,0,False
43,717,0,0,0,0,0,False
43,719,0,0,0,0,0,False
43,721,0,0,0,0,0,False
43,724,0,0,0,0,0,False
43,726,0,0,0,0,0,False
43,727,1,0,0,0,1,False
43,728,0,0,0,0,0,False
43,731,0,0,0,0,0,False
43,732,0,0,0,0,0,False
43,733,0,0,0,0,0,False
43,734,0,0,0,0,0,False
43,735,0,0,0,0,0,False
43,737,0,0,0,0,0,False
43,740,0,0,0,0,0,False
43,741,0,0,0,0,0,False
43,742,1,0,0,0,1,False
43,744,0,0,0,0,0,False
43,745,0,0,0,0,0,False
43,746,0,0,0,0,0,False
43,747,0,0,0,0,0,False
43,748,0,0,0,0,0,False
43,751,0,0,0,0,0,False
43,754,0,0,0,0,0,False
43,755,3,1,0,0,0,False
43,756,0,0,0,0,0,False
43,758,0,0,0,0,0,False
43,760,0,0,0,0,0,False
43,761,0,0,0,0,0,False
43,762,0,0,0,0,0,False
43,763,2,0,0,0,2,False
43,764,1,0,0,0,1,False
43,765,3,1,0,0,0,False
43,766,3,0,1,0,1,False
43,769,3,0,1,0,1,False
43,770,0,0,0,0,0,False
43,771,1,0,0,0,1,False
43,772,0,0,0,0,0,False
43,774,3,0,1,0,1,False
43,777,0,0,0,0,0,False
43,779,0,0,0,0,0,False
43,780,0,0,0,0,0,False
43,782,0,0,0,0,0,False
43,784,0,0,0,0,0,False
43,786,0,0,0,0,0,False
43,787,2,0,0,0,2,False
43,788,0,0,0,0,0,False
43,789,0,0,0,0,0,False
43,790,1,0,0,0,1,False
43,791,1,0,0,0,1,False
43,794,0,0,0,0,0,False
43,795,0,0,0,0,0,False
43,796,1,0,0,0,1,False
43,797,0,0,0,0,0,False
43,798,0,0,0,0,0,False
43,799,1,0,0,0,1,False
43,800,0,0,0,0,0,False
43,802,0,0,0,0,0,False
43,803,0,0,0,0,0,False
43,804,0,0,0,0,0,False
43,805,0,0,0,0,0,False
43,807,0,0,0,0,0,False
43,808,0,0,0,0,0,False
43,809,1,0,0,0,1,False
43,810,0,0,0,0,0,False
43,812,1,0,0,0,1,False
43,813,0,0,0,0,0,False
43,814,1,0,0,0,1,False
43,815,1,0,0,0,1,False
43,816,0,0,0,0,0,False
43,817,0,0,0,0,0,False
43,818,0,0,0,0,0,False
43,821,0,0,0,0,0,False
43,822,1,0,0,0,1,False
43,825,0,0,0,0,0,False
43,826,0,0,0,0,0,False
43,828,0,0,0,0,0,False
43,830,1,0,0,0,1,False
43,831,0,0,0,0,0,False
43,832,0,0,0,0,0,False
43,833,0,0,0,0,0,False
43,834,0,0,0,0,0,False
43,835,0,0,0,0,0,False
43,838,1,0,0,0,1,False
43,844,0,0,0,0,0,False
43,847,0,0,0,0,0,False
43,850,0,0,0,0,0,False
43,852,0,0,0,0,0,False
43,854,0,0,0,0,0,False
43,855,0,0,0,0,0,False
43,856,0,0,0,0,0,False
43,859,2,0,0,1,0,False
43,860,0,0,0,0,0,False
43,861,0,0,0,0,0,False
43,862,0,0,0,0,0,False
43,866,1,0,0,0,1,False
43,868,0,0,0,0,0,False
43,871,0,0,0,0,0,False
43,872,1,0,0,0,1,False
43,873,0,0,0,0,0,False
43,874,0,0,0,0,0,False
43,875,0,0,0,0,0,False
43,879,0,0,0,0,0,False
43,883,0,0,0,0,0,False
43,884,0,0,0,0,0,False
43,885,3,1,0,0,0,False
43,886,0,0,0,0,0,False
43,887,0,0,0,0,0,False
43,889,0,0,0,0,0,False
43,890,0,0,0,0,0,False
43,891,0,0,0,0,0,False
43,892,0,0,0,0,0,False
43,893,1,0,0,0,1,False
43,894,0,0,0,0,0,False
43,895,0,0,0,0,0,False
43,898,1,0,0,0,1,False
43,899,0,0,0,0,0,False
43,900,0,0,0,0,0,False
43,901,0,0,0,0,0,False
43,902,2,0,0,1,0,False
43,903,0,0,0,0,0,False
43,904,0,0,0,0,0,False
43,908,0,0,0,0,0,False
43,909,0,0,0,0,0,False
43,911,0,0,0,0,0,False
43,912,1,0,0,0,1,False
43,913,0,0,0,0,0,False
43,914,0,0,0,0,0,False
43,916,0,0,0,0,0,False
43,917,0,0,0,0,0,False
43,918,0,0,0,0,0,False
43,919,0,0,0,0,0,False
43,920,0,0,0,0,0,False
43,921,0,0,0,0,0,False
43,923,0,0,0,0,0,False
43,927,0,0,0,0,0,False
43,929,0,0,0,0,0,False
43,930,0,0,0,0,0,False
43,931,0,0,0,0,0,False
43,934,0,0,0,0,0,False
43,935,0,0,0,0,0,False
43,936,0,0,0,0,0,False
43,938,0,0,0,0,0,False
43,941,0,0,0,0,0,False
43,942,0,0,0,0,0,False
43,943,0,0,0,0,0,False
43,944,0,0,0,0,0,False
43,945,0,0,0,0,0,False
43,947,0,0,0,0,0,False
43,949,0,0,0,0,0,False
43,950,0,0,0,0,0,False
43,952,1,0,0,0,1,False
43,953,0,0,0,0,0,False
43,954,0,0,0,0,0,False
43,958,0,0,0,0,0,False
43,959,0,0,0,0,0,False
43,960,0,0,0,0,0,False
43,961,0,0,0,0,0,False
43,963,0,0,0,0,0,False
43,964,0,0,0,0,0,False
43,966,0,0,0,0,0,False
43,968,0,0,0,0,0,False
43,969,0,0,0,0,0,False
43,970,0,0,0,0,0,False
43,971,0,0,0,0,0,False
43,973,0,0,0,0,0,False
43,974,1,0,0,0,1,False
43,976,3,1,0,0,0,False
43,977,2,0,0,0,2,False
43,980,0,0,0,0,0,False
43,981,0,0,0,0,0,False
43,984,0,0,0,0,0,False
