sample_position,dataset_index,image_stem,is_hard,hard_score,FN,wrong_class,localization_failure,FP,instance_count,relative_mask_area,draw_multiplicity
0,366,580,False,1,0,0,0,1,1,0.34561556258461223,1
1,187,33,True,19,0,0,7,5,28,0.12367526860620637,1
2,89,210,True,11,0,0,5,1,11,0.17485210906541349,1
3,443,69,False,3,1,0,0,0,2,0.04209845923441202,1
4,653,977,False,2,0,0,0,2,1,0.00952549720738205,1
5,279,451,False,0,0,0,0,0,1,0.003850694319696757,1
6,74,193,True,3,1,0,0,0,2,0.12532688052376706,1
7,150,287,True,6,2,0,0,0,2,0.0087606353751144,1
8,220,37,True,7,0,0,1,5,5,0.02948686229805353,1
9,433,675,False,0,0,0,0,0,1,0.020206378382583212,1
10,552,832,False,0,0,0,0,0,1,0.04005468577876847,1
11,340,54,True,14,1,0,4,3,11,0.20398682958805947,1
12,27,129,True,10,3,0,0,1,3,0.07788384963988981,1
13,268,44,True,6,2,0,0,0,3,0.24200894897269254,1
14,583,886,False,0,0,0,0,0,2,0.0021971051142865017,1
15,394,623,True,5,0,0,2,1,5,0.2892675347486837,1
16,218,368,False,3,1,0,0,0,1,0.001315586423534354,1
17,185,327,False,2,0,0,1,0,3,0.00362792968601533,1
18,2,1001,False,2,0,0,1,0,2,0.0010662358899208302,1
19,607,914,False,0,0,0,0,0,1,0.01063967304858826,1
20,364,579,False,0,0,0,0,0,2,0.012793724627255365,1
21,314,498,False,0,0,0,0,0,1,0.0016766705585169461,1
22,123,26,True,17,4,1,0,3,13,0.2787034076996156,1
23,495,761,False,0,0,0,0,0,1,0.00865444540832172,1
24,597,901,False,0,0,0,0,0,1,0.0020207545740104083,1
25,342,542,False,0,0,0,0,0,1,0.0021966104199613312,1
26,637,958,False,0,0,0,0,0,1,0.005834548955021557,1
27,127,264,True,8,1,1,1,1,3,0.14169103511776346,1
28,155,291,True,6,2,0,0,0,2,0.043113425927336024,1
29,97,222,True,9,3,0,0,0,3,0.07601601220072862,1
30,272,444,False,0,0,0,0,0,1,0.006157519371129183,1
31,254,420,False,1,0,0,0,1,1,0.04089726632062618,1
