dataset_index,image_stem,is_hard,image_path,label_path,image_decode_ok,image_finite,label_parse_ok,polygon_finite,coordinate_range_ok,class_id_ok,instance_count,degenerate_polygon_count,degenerate_bbox_count,relative_polygon_area_sum,valid_image,valid_target
0,1,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/1.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/1.txt,True,True,True,True,True,True,3,0,0,0.0076145159779694715,True,True
1,100,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/100.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/100.txt,True,True,True,True,True,True,1,0,0,0.004308452411289743,True,True
2,1001,False,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/1001.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/1001.txt,True,True,True,True,True,True,2,0,0,0.0010662358899208302,True,True
3,1003,False,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/1003.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/1003.txt,True,True,True,True,True,True,1,0,0,0.0022698711114723796,True,True
4,1004,False,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/1004.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/1004.txt,True,True,True,True,True,True,1,0,0,0.002027243570732473,True,True
5,1005,False,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/1005.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/1005.txt,True,True,True,True,True,True,1,0,0,0.002606306845749806,True,True
6,1008,False,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/1008.jpg,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/1008.txt,True,True,True,True,True,True,1,0,0,0.0007965736633488985,True,True
7,101,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/101.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/101.txt,True,True,True,True,True,True,3,0,0,0.14305396334254994,True,True
8,102,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/102.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/102.txt,True,True,True,True,True,True,3,0,0,0.15354362627661278,True,True
9,103,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/103.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/103.txt,True,True,True,True,True,True,4,0,0,0.1841846912301156,True,True
10,104,False,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/104.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/104.txt,True,True,True,True,True,True,3,0,0,0.014104491591805046,True,True
11,105,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/105.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/105.txt,True,True,True,True,True,True,1,0,0,0.0036664502924782516,True,True
12,106,False,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/106.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/106.txt,True,True,True,True,True,True,2,0,0,0.16615485579126887,True,True
13,107,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/107.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/107.txt,True,True,True,True,True,True,1,0,0,0.016019888862567555,True,True
14,108,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/108.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/108.txt,True,True,True,True,True,True,3,0,0,0.25769825475721386,True,True
15,109,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/109.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/109.txt,True,True,True,True,True,True,3,0,0,0.026710390943659845,True,True
16,110,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/110.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/110.txt,True,True,True,True,True,True,3,0,0,0.15250900205048845,True,True
17,111,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/111.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/111.txt,True,True,True,True,True,True,1,0,0,0.006667381118086846,True,True
18,113,True,/root/autodl-tmp/borescope-new-seg-data/v1/images/train/113.png,/root/autodl-tmp/borescope-new-seg-data/v1/labels/train/113.txt,True,True,True,True,True,True,1,0,0,0.014832356773906596,True,True
