module,input_dtype,output_dtype,input_finite,output_finite,input_max_abs,output_max_abs
model.0,torch.float32,torch.float32,True,True,1.0,92.16114044189453
model.1,torch.float32,torch.float32,True,True,92.16114044189453,213.54124450683594
model.2,torch.float32,torch.float32,True,True,213.54124450683594,34.583892822265625
model.3,torch.float32,torch.float32,True,True,34.583892822265625,12.182392120361328
model.4,torch.float32,torch.float32,True,True,12.182392120361328,11.181769371032715
model.5,torch.float32,torch.float32,True,True,11.181769371032715,16.733213424682617
model.6,torch.float32,torch.float32,True,True,16.733213424682617,15.39547348022461
model.7,torch.float32,torch.float32,True,True,15.39547348022461,15.19251823425293
model.8,torch.float32,torch.float32,True,True,15.19251823425293,14.578978538513184
model.9,torch.float32,torch.float32,True,True,14.578978538513184,5.178072929382324
model.10,torch.float32,torch.float32,True,True,5.178072929382324,12.687159538269043
model.11,torch.float32,torch.float32,True,True,12.687159538269043,12.687159538269043
model.12,torch.float32,torch.float32,True,True,15.39547348022461,15.39547348022461
model.13,torch.float32,torch.float32,True,True,15.39547348022461,4.657815933227539
model.14,torch.float32,torch.float32,True,True,4.657815933227539,4.657815933227539
model.15,torch.float32,torch.float32,True,True,11.181769371032715,11.181769371032715
model.16,torch.float32,torch.float32,True,True,11.181769371032715,7.821456432342529
model.17,torch.float32,torch.float32,True,True,7.821456432342529,10.173277854919434
model.18,torch.float32,torch.float32,True,True,10.173277854919434,10.173277854919434
model.19,torch.float32,torch.float32,True,True,10.173277854919434,8.835821151733398
model.20,torch.float32,torch.float32,True,True,8.835821151733398,12.640040397644043
model.21,torch.float32,torch.float32,True,True,12.687159538269043,12.687159538269043
model.22,torch.float32,torch.float32,True,True,12.687159538269043,37.77378845214844
model.23,torch.float32,torch.float32,True,True,37.77378845214844,180.21559143066406
