epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8663,2.35225,5.08324,4.63065,2.01405,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0031746,0.0031746,0.0714286
2,36.6901,2.75241,4.45403,4.06118,2.54886,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00644351,0.00644351,0.0413641
3,43.5325,2.66171,4.34095,3.8076,2.453,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00964641,0.00964641,0.0112337
4,50.4654,2.55144,4.24865,3.62603,2.38723,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.009703,0.009703,0.009703
5,58.8243,2.47754,4.12566,3.54971,2.41199,0,1e-05,0.00446,0,0,0,0,0,0,5.02316,nan,3809.87,121.258,0,0.009604,0.009604,0.009604
6,66.9847,2.37548,4.02548,3.47913,2.26225,0,0.46374,0.02317,0.0172,0.00513,0.46374,0.02317,0.01533,0.00409,3.69872,5079.8,23.9521,10.7244,0,0.009505,0.009505,0.009505
7,74.6544,2.29807,4.09419,3.36997,2.22253,0,0.45528,0.0666,0.02255,0.00822,0.45229,0.06274,0.02111,0.00667,3.12554,6.30151,23.621,3.10981,0,0.009406,0.009406,0.009406
8,81.9455,2.27633,4.00083,3.28756,2.162,0,0.04169,0.0771,0.02576,0.00779,0.03488,0.02218,0.01057,0.00396,2.87858,7.62456,8.1109,2.54653,0,0.009307,0.009307,0.009307
9,88.9785,2.27388,3.95328,3.2418,2.12681,0,0.19589,0.20156,0.0669,0.02627,0.19011,0.15034,0.06376,0.01899,2.64436,7.12358,7.26797,2.53668,0,0.009208,0.009208,0.009208
10,96.0525,2.22617,3.86972,3.171,2.10043,0,0.48902,0.19284,0.08604,0.0384,0.50455,0.15569,0.09215,0.03686,2.58995,5.43284,7.82013,2.6495,0,0.009109,0.009109,0.009109
11,103.243,2.19046,3.85429,3.02843,2.00478,0,0.15656,0.33128,0.13078,0.05077,0.14349,0.26977,0.11849,0.05147,2.50225,4.11568,10.1459,2.18874,0,0.00901,0.00901,0.00901
12,110.349,2.18241,3.82579,3.06269,2.04856,0,0.38964,0.16399,0.15424,0.06183,0.36425,0.14831,0.13551,0.05693,2.57537,4.86435,8.50218,2.3063,0,0.008911,0.008911,0.008911
13,117.582,2.10787,3.70546,2.98635,1.98065,0,0.13776,0.17592,0.11819,0.04761,0.44619,0.13519,0.10228,0.03905,2.51591,4.37024,5.73899,2.24006,0,0.008812,0.008812,0.008812
14,125.066,2.09878,3.7118,2.95469,1.94328,0,0.21633,0.30615,0.22686,0.11301,0.25527,0.23486,0.22032,0.11407,2.40108,3.81255,5.29122,2.10755,0,0.008713,0.008713,0.008713
15,132.101,2.11679,3.67974,2.97541,1.94706,0,0.59657,0.20163,0.25612,0.1055,0.40813,0.26637,0.25199,0.1011,2.35285,4.03397,3.66361,2.03763,0,0.008614,0.008614,0.008614
16,139.374,2.0365,3.55386,2.85793,1.90927,0,0.55743,0.19356,0.23451,0.10465,0.5993,0.19782,0.23158,0.0985,2.30016,3.68651,5.08153,2.02562,0,0.008515,0.008515,0.008515
17,146.354,2.02643,3.58433,2.86504,1.91022,0,0.25202,0.13838,0.02323,0.0085,0.21549,0.13736,0.02151,0.0087,2.69404,5.15617,6.44653,2.65631,0,0.008416,0.008416,0.008416
18,153.497,2.05665,3.62911,2.8522,1.94209,0,0.53063,0.21886,0.22824,0.09782,0.52207,0.20697,0.21955,0.08302,2.38818,3.89387,4.69171,2.22349,0,0.008317,0.008317,0.008317
19,160.483,2.02391,3.53483,2.78373,1.87488,0,0.58068,0.15591,0.20865,0.1033,0.48035,0.15859,0.1946,0.09073,2.25296,3.66408,3.28712,2.09157,0,0.008218,0.008218,0.008218
20,167.944,2.0128,3.60909,2.80928,1.8934,0,0.42422,0.29402,0.21611,0.112,0.50569,0.27532,0.21345,0.08694,2.1847,3.67502,3.00514,1.92411,0,0.008119,0.008119,0.008119
21,175.023,1.97245,3.57547,2.74949,1.82163,0,0.53987,0.2155,0.20422,0.10102,0.49955,0.14926,0.17219,0.07358,2.22032,3.92017,3.32148,1.93466,0,0.00802,0.00802,0.00802
22,182.038,1.94206,3.52828,2.68781,1.81275,0,0.31878,0.30805,0.20549,0.08701,0.24902,0.26748,0.15518,0.0709,2.36671,3.75164,3.68416,2.04558,0,0.007921,0.007921,0.007921
23,189.244,1.93066,3.41036,2.60828,1.77176,0,0.3225,0.29205,0.22698,0.09863,0.2694,0.21989,0.19907,0.08004,2.3279,3.86375,3.20396,2.02596,0,0.007822,0.007822,0.007822
24,196.453,1.93305,3.43791,2.61065,1.80631,0,0.55314,0.30444,0.25769,0.12874,0.54673,0.24006,0.22524,0.09953,2.25139,3.61331,3.46959,2.03851,0,0.007723,0.007723,0.007723
25,203.816,1.90559,3.41549,2.60231,1.76556,0,0.40016,0.25402,0.2907,0.13812,0.39164,0.24165,0.26392,0.13148,2.11152,3.55781,3.16025,1.88377,0,0.007624,0.007624,0.007624
