seed,image_stem,hard_score,FN,wrong_class,localization_failure,FP,is_hard
44,1,7,0,0,3,1,True
44,2,0,0,0,0,0,False
44,3,4,0,0,2,0,True
44,6,2,0,0,1,0,False
44,7,5,0,0,2,1,True
44,8,0,0,0,0,0,False
44,9,9,0,0,4,1,True
44,12,8,0,0,4,0,True
44,13,2,0,0,1,0,False
44,14,9,2,0,1,1,True
44,15,4,1,0,0,1,True
44,17,6,2,0,0,0,True
44,18,12,4,0,0,0,True
44,20,11,1,2,0,4,True
44,21,6,2,0,0,0,True
44,23,3,0,0,1,1,True
44,24,13,4,0,0,1,True
44,26,23,5,0,3,2,True
44,27,2,0,0,1,0,False
44,28,0,0,0,0,0,False
44,29,6,0,0,3,0,True
44,31,16,3,0,2,3,True
44,33,16,0,0,5,6,True
44,34,1,0,0,0,1,False
44,37,7,0,0,1,5,True
44,38,12,4,0,0,0,True
44,43,2,0,0,1,0,False
44,44,8,2,0,0,2,True
44,48,6,0,0,2,2,True
44,49,1,0,0,0,1,False
44,50,12,0,0,5,2,True
44,52,3,0,0,1,1,False
44,53,0,0,0,0,0,False
44,54,18,1,0,4,7,True
44,55,5,0,0,2,1,True
44,56,9,3,0,0,0,True
44,57,9,2,1,0,1,True
44,58,14,2,0,3,2,True
44,59,2,0,0,0,2,False
44,63,6,2,0,0,0,True
44,64,5,0,0,2,1,True
44,65,3,1,0,0,0,False
44,66,3,0,1,0,1,False
44,67,3,1,0,0,0,False
44,68,0,0,0,0,0,False
44,69,3,1,0,0,0,False
44,71,10,0,0,5,0,True
44,72,6,2,0,0,0,True
44,73,3,1,0,0,0,False
44,75,3,1,0,0,0,False
44,76,5,0,0,2,1,True
44,79,3,1,0,0,0,False
44,80,0,0,0,0,0,False
44,81,6,1,1,0,1,True
44,82,3,1,0,0,0,False
44,83,3,0,0,1,1,False
44,84,7,2,0,0,1,True
44,85,7,2,0,0,1,True
44,86,3,1,0,0,0,False
44,88,5,0,0,2,1,True
44,89,2,0,0,1,0,False
44,91,0,0,0,0,0,False
44,93,3,1,0,0,0,False
44,94,6,2,0,0,0,True
44,95,10,2,1,0,2,True
44,96,7,2,0,0,1,True
44,97,9,3,0,0,0,True
44,98,9,0,0,3,3,True
44,99,5,1,0,1,0,True
44,100,3,1,0,0,0,True
44,101,9,3,0,0,0,True
44,102,6,1,0,1,1,True
44,103,11,0,1,2,5,True
44,104,1,0,0,0,1,False
44,105,3,1,0,0,0,True
44,106,2,0,0,1,0,False
44,107,1,0,0,0,1,False
44,108,4,0,0,2,0,True
44,109,3,0,0,1,1,True
44,110,5,0,0,2,1,True
44,111,4,1,0,0,1,True
44,113,3,1,0,0,0,True
44,114,4,1,0,0,1,True
44,115,3,1,0,0,0,True
44,117,3,0,0,1,1,True
44,119,6,2,0,0,0,True
44,120,4,0,0,1,2,True
44,123,3,1,0,0,0,True
44,124,10,3,0,0,1,True
44,129,5,0,0,2,1,True
44,131,3,1,0,0,0,True
44,132,0,0,0,0,0,False
44,133,6,0,0,2,2,True
44,135,4,1,0,0,1,True
44,136,1,0,0,0,1,False
44,137,0,0,0,0,0,False
44,139,1,0,0,0,1,False
44,141,7,2,0,0,1,True
44,143,5,0,1,1,1,True
44,144,3,1,0,0,0,True
