epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,30.2494,1.56528,2.97786,2.11484,1.49778,0,0.6249,0.06845,0.1157,0.05967,0.6249,0.06845,0.10305,0.04613,2.20605,3.70891,7.44585,1.97802,0,0.0031746,0.0031746,0.0714286
2,38.5808,1.68561,3.06001,2.14429,1.55369,0,0.35327,0.16329,0.18922,0.09402,0.32819,0.16973,0.18075,0.08695,2.30235,3.75857,3.66702,2.07894,0,0.00629317,0.00629317,0.0412138
3,46.0959,1.71486,3.02259,2.1331,1.58317,0,0.66323,0.35698,0.36533,0.17448,0.66497,0.35591,0.3662,0.13687,2.15927,3.38666,2.70205,1.87194,0,0.00919175,0.00919175,0.010779
4,53.5454,1.69862,3.08622,2.13415,1.57762,0,0.39996,0.40175,0.37982,0.20146,0.36976,0.37978,0.3484,0.16233,2.03243,3.36052,2.66597,1.8548,0,0.00901,0.00901,0.00901
5,60.8645,1.70996,3.1311,2.16933,1.57524,0,0.51402,0.33091,0.36283,0.17177,0.50752,0.34208,0.34603,0.16236,2.10857,3.66364,2.72617,1.81684,0,0.00868,0.00868,0.00868
6,67.9693,1.7091,3.04947,2.12287,1.57812,0,0.44536,0.47567,0.43862,0.22077,0.48794,0.36349,0.37569,0.20649,1.98498,3.09295,2.62749,1.74594,0,0.00835,0.00835,0.00835
7,75.6193,1.71587,3.04748,2.09113,1.58937,0,0.65356,0.42545,0.46032,0.24512,0.59315,0.39984,0.40921,0.20481,2.0201,3.24511,2.31256,1.71218,0,0.00802,0.00802,0.00802
8,83.6136,1.64017,3.0111,2.06767,1.52644,0,0.63678,0.26582,0.28871,0.14953,0.62176,0.26007,0.27646,0.1171,2.07524,3.48506,3.28004,1.76529,0,0.00769,0.00769,0.00769
9,90.8187,1.63945,3.05019,2.11477,1.53862,0,0.43449,0.39931,0.352,0.17802,0.40791,0.37419,0.32372,0.16371,2.00559,3.26261,2.61116,1.76033,0,0.00736,0.00736,0.00736
10,98.0534,1.6021,2.95629,2.02928,1.51657,0,0.56143,0.28135,0.34157,0.18939,0.54642,0.2809,0.32559,0.17503,2.05308,3.80084,2.29101,1.82523,0,0.00703,0.00703,0.00703
11,105.208,1.63388,2.96441,2.05644,1.51244,0,0.63714,0.33122,0.35704,0.18162,0.59528,0.31896,0.32266,0.1556,2.09072,3.41398,2.29296,1.76558,0,0.0067,0.0067,0.0067
12,112.386,1.65278,3.04524,2.06702,1.52915,0,0.41081,0.43952,0.42705,0.25179,0.49385,0.37583,0.40801,0.21085,1.97489,3.14455,2.33867,1.69657,0,0.00637,0.00637,0.00637
13,120.419,1.57639,2.89665,1.93572,1.47428,0,0.51809,0.50903,0.47607,0.27545,0.52872,0.4552,0.44482,0.2357,1.97183,3.05916,2.1599,1.7267,0,0.00604,0.00604,0.00604
14,128.213,1.59902,2.91815,1.926,1.48506,0,0.55452,0.41162,0.42286,0.25031,0.54083,0.39879,0.40685,0.21431,1.96408,3.09203,2.12484,1.70682,0,0.00571,0.00571,0.00571
15,135.779,1.57557,2.82213,1.86903,1.46112,0,0.60538,0.40506,0.49939,0.26216,0.5956,0.39089,0.45924,0.23404,1.98837,3.12094,2.08617,1.7164,0,0.00538,0.00538,0.00538
