epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,30.7257,1.47714,2.68272,1.80235,1.38559,0,0.26713,0.32174,0.28318,0.12951,0.49632,0.24053,0.28007,0.1204,2.23628,3.29434,3.0735,2.05414,0,0.0031746,0.0031746,0.0714286
2,39.1332,1.62451,2.85737,1.9826,1.48895,0,0.37785,0.39132,0.32991,0.1636,0.35037,0.33539,0.28974,0.13708,2.10588,3.54486,3.60342,1.87591,0,0.00629317,0.00629317,0.0412138
3,47.5913,1.65931,2.95548,2.02439,1.5292,0,0.39561,0.31532,0.34267,0.18926,0.4069,0.31742,0.32477,0.15977,2.19271,9.18893,3.57593,1.98019,0,0.00919175,0.00919175,0.010779
4,55.0539,1.66511,3.02584,2.10006,1.56915,0,0.20758,0.27183,0.19465,0.09982,0.19863,0.25437,0.17058,0.07908,2.23039,136.945,4.05971,2.33816,0,0.00901,0.00901,0.00901
5,62.3507,1.66011,3.00063,2.04482,1.55287,0,0.31796,0.33533,0.30249,0.15789,0.40818,0.25031,0.27706,0.15883,2.05536,22.3358,3.10153,1.96897,0,0.00868,0.00868,0.00868
6,69.6769,1.63494,2.9091,2.0222,1.53777,0,0.45514,0.39856,0.41749,0.19355,0.45312,0.37909,0.39177,0.16883,2.05833,3.36715,2.62857,1.82695,0,0.00835,0.00835,0.00835
7,76.9704,1.6363,2.90059,1.97157,1.53273,0,0.28788,0.38559,0.30369,0.16252,0.27853,0.35823,0.29172,0.12763,2.06434,3.5338,2.72154,1.82319,0,0.00802,0.00802,0.00802
8,85.0574,1.6466,2.88,1.96751,1.51518,0,0.56707,0.14906,0.13335,0.06078,0.56486,0.14473,0.12817,0.04617,2.35095,3.48862,3.50571,1.98434,0,0.00769,0.00769,0.00769
9,92.6695,1.66205,2.89452,2.00908,1.55375,0,0.59814,0.18993,0.21085,0.09409,0.54979,0.16111,0.20829,0.07541,2.29743,3.71821,3.36996,2.01355,0,0.00736,0.00736,0.00736
10,100.114,1.61333,2.9202,2.02801,1.53093,0,0.59713,0.42133,0.44762,0.2458,0.56913,0.38576,0.39906,0.21995,1.92326,3.36776,2.6653,1.79359,0,0.00703,0.00703,0.00703
11,107.576,1.62045,2.91387,1.96694,1.49482,0,0.44924,0.47041,0.4105,0.23547,0.44263,0.46727,0.39066,0.20223,1.97014,3.13057,2.63295,1.69759,0,0.0067,0.0067,0.0067
12,115.255,1.62705,2.89881,1.95113,1.51739,0,0.56507,0.50293,0.48278,0.2871,0.56,0.46996,0.46028,0.24725,1.96733,3.07966,2.07212,1.65589,0,0.00637,0.00637,0.00637
13,123.398,1.5698,2.83908,1.89001,1.46599,0,0.50545,0.46215,0.47622,0.29674,0.50076,0.45137,0.44179,0.23064,1.84599,2.98381,2.2119,1.60605,0,0.00604,0.00604,0.00604
14,131.019,1.57656,2.74663,1.90175,1.4737,0,0.78397,0.40048,0.48157,0.27568,0.76719,0.39875,0.45584,0.24929,1.92803,3.1487,2.07422,1.69334,0,0.00571,0.00571,0.00571
15,138.325,1.51373,2.70929,1.79568,1.43501,0,0.40449,0.46986,0.43338,0.23668,0.39318,0.44815,0.41803,0.21435,1.9467,3.15681,2.18579,1.71207,0,0.00538,0.00538,0.00538
16,145.468,1.54313,2.82706,1.87625,1.45938,0,0.64387,0.42083,0.49596,0.29847,0.66767,0.41612,0.4548,0.25563,1.88811,3.02398,2.05888,1.63393,0,0.00505,0.00505,0.00505
17,152.777,1.52801,2.72909,1.83432,1.44025,0,0.65498,0.52445,0.54831,0.32095,0.66987,0.46797,0.5059,0.266,1.83096,2.91218,1.84856,1.65317,0,0.00472,0.00472,0.00472
18,160.351,1.45687,2.70842,1.77556,1.40963,0,0.74285,0.43876,0.52046,0.30207,0.72247,0.4221,0.49337,0.25526,1.91626,2.95507,1.9867,1.64956,0,0.00439,0.00439,0.00439
19,168.055,1.48497,2.72618,1.76913,1.41244,0,0.62557,0.48154,0.51704,0.30938,0.75362,0.42043,0.49105,0.27397,1.87179,2.87357,1.99318,1.59723,0,0.00406,0.00406,0.00406
20,175.817,1.46251,2.67183,1.72326,1.40638,0,0.74513,0.48296,0.55879,0.31028,0.7343,0.46087,0.5325,0.29036,1.85581,2.77318,1.93037,1.63984,0,0.00373,0.00373,0.00373
21,184.667,1.52833,2.65758,1.85461,1.49915,0,0.60769,0.38371,0.42859,0.23533,0.59434,0.37483,0.41192,0.2162,1.96123,3.26189,2.37979,1.70035,0,0.0034,0.0034,0.0034
22,192.136,1.52963,2.62172,1.80542,1.51805,0,0.69192,0.4442,0.56231,0.31814,0.67563,0.43024,0.52429,0.27275,1.8466,2.89212,1.93665,1.61964,0,0.00307,0.00307,0.00307
23,199.16,1.47016,2.53006,1.68938,1.47566,0,0.57406,0.49868,0.53022,0.32103,0.54818,0.47348,0.47539,0.27022,1.84843,2.91293,1.90538,1.65361,0,0.00274,0.00274,0.00274
24,206.907,1.41939,2.46158,1.61638,1.44585,0,0.82721,0.41643,0.56814,0.32643,0.80585,0.43079,0.54237,0.28793,1.78738,2.8458,1.85113,1.58646,0,0.00241,0.00241,0.00241
25,214.627,1.43034,2.45079,1.62218,1.406,0,0.73925,0.53733,0.6299,0.35874,0.77422,0.49201,0.58694,0.29869,1.80111,2.74574,1.80128,1.59736,0,0.00208,0.00208,0.00208
26,221.626,1.43317,2.56025,1.68138,1.46742,0,0.62289,0.54891,0.57459,0.35007,0.61922,0.52798,0.5503,0.3011,1.74535,2.80024,1.75939,1.55493,0,0.00175,0.00175,0.00175
27,229.121,1.36122,2.36571,1.53759,1.41749,0,0.64078,0.57301,0.59904,0.34016,0.61203,0.55346,0.55976,0.31424,1.74358,2.77664,1.73863,1.57691,0,0.00142,0.00142,0.00142
28,236.494,1.33187,2.36808,1.47919,1.38552,0,0.69845,0.56734,0.63421,0.3356,0.71569,0.4978,0.57151,0.31043,1.75396,2.79563,1.73711,1.57531,0,0.00109,0.00109,0.00109
29,243.808,1.32446,2.30239,1.44009,1.35834,0,0.74208,0.61153,0.63883,0.36278,0.67883,0.60943,0.60423,0.33015,1.74258,2.73529,1.67629,1.57538,0,0.00076,0.00076,0.00076
30,251.806,1.32614,2.37804,1.48434,1.38448,0,0.72494,0.61565,0.6417,0.379,0.70922,0.5858,0.61331,0.34276,1.71541,2.69344,1.67613,1.56003,0,0.00043,0.00043,0.00043
