edit_id,source_id,class,family,changed_ratio,component_count,candidate_type,human_label,comment
seed00_edit01,52,corrosion,C_elongated_ribbon,0.000966796875,25,NOISE_PATTERN_CANDIDATE,,
seed00_edit00,53,corrosion,D_irregular_boundary,0.03994873046875,87,NOISE_PATTERN_CANDIDATE,,
seed00_edit01,91,corrosion,C_elongated_ribbon,0.00455810546875,130,NOISE_PATTERN_CANDIDATE,,
seed00_edit00,136,Burn|corrosion,D_irregular_boundary,0.00890380859375,160,NOISE_PATTERN_CANDIDATE,,
seed00_edit01,136,Burn|corrosion,D_irregular_boundary,0.015869140625,170,NOISE_PATTERN_CANDIDATE,,
seed00_edit01,148,Burn,D_irregular_boundary,0.0108544921875,35,NOISE_PATTERN_CANDIDATE,,
seed00_edit01,155,corrosion,C_elongated_ribbon,0.0089208984375,21,NOISE_PATTERN_CANDIDATE,,
seed00_edit00,156,Material missing,C_elongated_ribbon,0.0091650390625,23,NOISE_PATTERN_CANDIDATE,,
seed00_edit00,157,corrosion,C_elongated_ribbon,0.000322265625,11,WEAK_CHANGE_CANDIDATE,,
seed00_edit01,169,corrosion,C_elongated_ribbon,0.0110791015625,21,NOISE_PATTERN_CANDIDATE,,
seed00_edit01,179,Burn,C_elongated_ribbon,0.00886474609375,21,NOISE_PATTERN_CANDIDATE,,
seed00_edit00,182,Dent,C_elongated_ribbon,0.00183837890625,21,NOISE_PATTERN_CANDIDATE,,
seed00_edit00,191,corrosion,D_irregular_boundary,0.02017578125,25,NOISE_PATTERN_CANDIDATE,,
seed00_edit02,260,Crack,C_elongated_ribbon,0.0110693359375,22,NOISE_PATTERN_CANDIDATE,,
seed00_edit01,261,corrosion,C_elongated_ribbon,0.00541748046875,107,NOISE_PATTERN_CANDIDATE,,
seed00_edit00,306,corrosion,D_irregular_boundary,0.0705322265625,22,NOISE_PATTERN_CANDIDATE,,
seed00_edit01,313,Burn|Material missing|corrosion,D_irregular_boundary,0.06470947265625,43,NOISE_PATTERN_CANDIDATE,,
seed00_edit00,346,Burn|corrosion,C_elongated_ribbon,0.0058837890625,68,NOISE_PATTERN_CANDIDATE,,
seed00_edit01,354,Crack,C_elongated_ribbon,0.0039404296875,46,NOISE_PATTERN_CANDIDATE,,
seed00_edit01,362,Material missing,C_elongated_ribbon,0.00229736328125,27,NOISE_PATTERN_CANDIDATE,,
