edit_id,source_id,family,class,changed_ratio,component_count,candidate_type,review_label
seed42_edit00,1,D_irregular_boundary,corrosion,0.067412109375,29,NOISE_PATTERN_CANDIDATE,
seed42_edit01,1001,D_irregular_boundary,Dent,0.05658935546875,172,NOISE_PATTERN_CANDIDATE,
seed42_edit01,1003,D_irregular_boundary,Dent,0.0048486328125,256,NOISE_PATTERN_CANDIDATE,
seed42_edit01,1005,D_irregular_boundary,Dent,0.04902587890625,100,NOISE_PATTERN_CANDIDATE,
seed42_edit01,1008,C_elongated_ribbon,Dent,2.9296875e-05,7,WEAK_CHANGE_CANDIDATE,
seed42_edit01,101,D_irregular_boundary,Crack|corrosion,0.032705078125,73,NOISE_PATTERN_CANDIDATE,
seed42_edit01,103,C_elongated_ribbon,Material missing|corrosion,0.00266845703125,26,NOISE_PATTERN_CANDIDATE,
seed42_edit00,104,D_irregular_boundary,corrosion,0.04725830078125,30,NOISE_PATTERN_CANDIDATE,
seed42_edit01,104,C_elongated_ribbon,corrosion,0.00917236328125,72,NOISE_PATTERN_CANDIDATE,
seed42_edit02,104,C_elongated_ribbon,corrosion,0.004482421875,50,NOISE_PATTERN_CANDIDATE,
seed42_edit01,107,C_elongated_ribbon,corrosion,0.01015380859375,23,NOISE_PATTERN_CANDIDATE,
seed42_edit02,107,C_elongated_ribbon,corrosion,0.00934814453125,119,NOISE_PATTERN_CANDIDATE,
seed42_edit01,108,D_irregular_boundary,Burn,0.02451416015625,25,NOISE_PATTERN_CANDIDATE,
seed42_edit00,117,C_elongated_ribbon,Burn,0.0104150390625,36,NOISE_PATTERN_CANDIDATE,
seed42_edit02,13,D_irregular_boundary,corrosion,0.02468994140625,41,NOISE_PATTERN_CANDIDATE,
seed42_edit00,135,C_elongated_ribbon,Crack|corrosion,0.00346923828125,25,NOISE_PATTERN_CANDIDATE,
seed42_edit01,149,D_irregular_boundary,Material missing,0.06240234375,63,NOISE_PATTERN_CANDIDATE,
seed42_edit00,155,D_irregular_boundary,corrosion,0.01864990234375,20,NOISE_PATTERN_CANDIDATE,
seed42_edit01,168,C_elongated_ribbon,Burn,0.000361328125,1,WEAK_CHANGE_CANDIDATE,
seed42_edit01,169,C_elongated_ribbon,corrosion,0.0038330078125,25,NOISE_PATTERN_CANDIDATE,
seed42_edit00,17,D_irregular_boundary,Crack|corrosion,0.0292431640625,33,NOISE_PATTERN_CANDIDATE,
seed42_edit00,171,D_irregular_boundary,corrosion,0.03545654296875,55,NOISE_PATTERN_CANDIDATE,
seed42_edit00,173,C_elongated_ribbon,Burn|corrosion,0.00786865234375,81,NOISE_PATTERN_CANDIDATE,
seed42_edit01,175,C_elongated_ribbon,Material missing,0.00325927734375,82,NOISE_PATTERN_CANDIDATE,
seed42_edit02,179,D_irregular_boundary,Burn,0.053271484375,70,NOISE_PATTERN_CANDIDATE,
seed42_edit01,18,C_elongated_ribbon,Dent|Material missing,0.01077880859375,43,NOISE_PATTERN_CANDIDATE,
seed42_edit00,185,C_elongated_ribbon,corrosion,0.00623779296875,27,NOISE_PATTERN_CANDIDATE,
seed42_edit00,192,D_irregular_boundary,corrosion,0.033046875,28,NOISE_PATTERN_CANDIDATE,
seed42_edit00,193,C_elongated_ribbon,Crack|corrosion,0.006708984375,22,NOISE_PATTERN_CANDIDATE,
seed42_edit01,193,C_elongated_ribbon,Crack|corrosion,0.00396240234375,136,NOISE_PATTERN_CANDIDATE,
