image_stem,seed,edit_count,families,total_refined_area_ratio,min_visible_change_ratio,mean_gray_difference,status
1,42,3,"A_small_low_contrast,D_boundary_evolution,A_small_low_contrast",0.0078466796875,0.8501362397820164,16.993945258384933,PASS
100,42,2,"D_boundary_evolution,B_diffuse_texture",0.08734619140625,0.9792662523900574,31.989111360238226,PASS
1001,42,2,"C_crack_like_structural_evolution,B_diffuse_texture",0.12858154296875002,0.9622186043900522,36.483430133073945,PASS
1003,42,3,"A_small_low_contrast,B_diffuse_texture,A_small_low_contrast",0.09364501953125,0.8789346246973365,8.011204376537306,PASS
1004,42,1,A_small_low_contrast,0.00138916015625,0.9312602291325696,7.996314586994728,PASS
1005,42,2,"C_crack_like_structural_evolution,A_small_low_contrast",0.0036254882812500003,0.8842544316996872,18.465660214448626,PASS
1008,42,3,"A_small_low_contrast,B_diffuse_texture,C_crack_like_structural_evolution",0.17147216796875,0.9734693877551021,17.121577360262048,PASS
101,42,3,"D_boundary_evolution,C_crack_like_structural_evolution,B_diffuse_texture",0.06627685546875,0.9650191072103473,35.98524727850573,PASS
102,42,3,"A_small_low_contrast,B_diffuse_texture,A_small_low_contrast",0.056186523437500004,0.941944847605225,18.68738295707485,PASS
103,42,2,"C_crack_like_structural_evolution,A_small_low_contrast",0.0062719726562499994,0.967966573816156,20.322992952203123,PASS
104,42,2,"B_diffuse_texture,C_crack_like_structural_evolution",0.03224609375,0.9795328489961722,21.562013180342205,PASS
105,42,3,"D_boundary_evolution,D_boundary_evolution,C_crack_like_structural_evolution",0.02016845703125,1.0,28.761939961413688,PASS
106,42,1,A_small_low_contrast,0.00088623046875,0.9603174603174603,7.225895316804408,PASS
107,42,2,"B_diffuse_texture,A_small_low_contrast",0.06727783203125,0.825563909774436,20.429589165748098,PASS
108,42,1,B_diffuse_texture,0.0663623046875,0.9899843391484867,10.630583879037596,PASS
109,42,2,"C_crack_like_structural_evolution,C_crack_like_structural_evolution",0.00648193359375,1.0,33.625971116519345,PASS
110,42,2,"D_boundary_evolution,A_small_low_contrast",0.008698730468749999,0.9690721649484536,21.288217201242027,PASS
111,42,3,"B_diffuse_texture,D_boundary_evolution,A_small_low_contrast",0.14465576171875,0.8558394160583942,24.690608352583357,PASS
113,42,1,C_crack_like_structural_evolution,0.0036279296875,1.0,32.63287550471063,PASS
114,42,1,A_small_low_contrast,0.00216552734375,0.9662309368191722,7.517474633596391,PASS
