image_stem,seed,edit_index,family,attempt,reasons,mask_area_ratio,bbox_xyxy,bbox_aspect_ratio,relative_bbox_width,relative_bbox_height,perimeter,compactness,connected_components,largest_component_ratio,largest_component_ratio_lower_bound,skeleton_length,elongation_score,boundary_score
103,42,0,C_crack_like_structural_evolution,1,C_COMPONENT_COUNT,0.0033251953125,"[363, 245, 536, 364]",1.45,0.271875,0.1875,609.0,0.046147947122546565,2,0.5286343612334802,0.5286343612334802,290,5.558564545702412,0.44713656387665196
105,42,0,D_boundary_evolution,1,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.0037890625,"[220, 401, 450, 493]",2.4838709677419355,0.3609375,0.1453125,961.0,0.02111809822785344,37,0.32538659793814434,0.32538659793814434,593,2.1078419193918214,0.6192010309278351
105,42,0,D_boundary_evolution,2,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.003623046875,"[282, 100, 440, 212]",1.407079646017699,0.2484375,0.1765625,1087.0,0.01578282266351691,11,0.6819407008086253,0.6819407008086253,587,1.396070242565614,0.7324797843665768
12,42,0,D_boundary_evolution,1,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.00658203125,"[342, 438, 568, 592]",1.4645161290322581,0.3546875,0.2421875,1664.0,0.012235539065502036,13,0.3642433234421365,0.3642433234421365,852,1.3866913028631163,0.6172106824925816
12,42,0,D_boundary_evolution,2,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.00723876953125,"[102, 150, 312, 271]",1.7295081967213115,0.3296875,0.190625,1478.0,0.017056334068628994,5,0.7416526138279933,0.7416526138279933,710,1.7446787163683515,0.4984822934232715
132,42,1,D_boundary_evolution,1,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.00387451171875,"[397, 33, 582, 157]",1.488,0.290625,0.1953125,996.0,0.020103335193170275,23,0.34593572778827975,0.34593572778827975,508,1.3747188430227335,0.6275992438563327
14,42,0,D_boundary_evolution,1,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.0040576171875,"[148, 85, 320, 164]",2.1625,0.2703125,0.125,1053.0,0.018835803065329507,6,0.9049338146811071,0.9049338146811071,555,2.236996709515434,0.6335740072202166
14,42,0,D_boundary_evolution,2,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.0025927734375,"[393, 44, 535, 100]",2.508771929824561,0.2234375,0.0890625,781.0,0.021879244070439653,7,0.512241054613936,0.512241054613936,442,2.302928454673734,0.7354048964218456
143,42,0,C_crack_like_structural_evolution,1,C_COMPONENT_COUNT,0.00292236328125,"[122, 289, 326, 411]",1.6666666666666667,0.3203125,0.1921875,672.0,0.03330929710837392,2,0.6825396825396826,0.6825396825396826,290,4.0174838842313365,0.5614035087719298
147,42,2,C_crack_like_structural_evolution,1,C_COMPONENT_COUNT,0.00197509765625,"[391, 68, 543, 156]",1.7191011235955056,0.2390625,0.1390625,503.0,0.04018115492736057,2,0.7725587144622992,0.7725587144622992,206,4.334399636307914,0.6217552533992583
149,42,0,D_boundary_evolution,1,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.00638916015625,"[84, 112, 404, 234]",2.6097560975609757,0.5015625,0.1921875,1744.0,0.010812363193392403,30,0.5414596866641193,0.5414596866641193,933,2.2950664402521754,0.6664119220481467
149,42,0,D_boundary_evolution,2,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.00405029296875,"[356, 374, 567, 472]",2.1414141414141414,0.33125,0.1546875,1140.0,0.016041558055726275,18,0.34960819770946355,0.34960819770946355,586,2.167970538008626,0.6871609403254972
167,42,2,C_crack_like_structural_evolution,1,C_COMPONENT_COUNT,0.0013916015625,"[337, 53, 364, 179]",4.535714285714286,0.04375,0.1984375,344.0,0.060529604264000204,2,0.787719298245614,0.787719298245614,149,5.163880841435694,0.6035087719298246
175,42,2,D_boundary_evolution,1,D_COMPONENT_COUNT,0.00428466796875,"[32, 326, 216, 400]",2.466666666666667,0.2890625,0.1171875,1079.0,0.01894279657579517,6,0.996011396011396,0.996011396011396,558,2.3170161435591146,0.6148148148148148
196,42,1,D_boundary_evolution,1,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.00219482421875,"[460, 73, 573, 148]",1.5,0.178125,0.11875,637.0,0.02784137571452944,10,0.2803114571746385,0.2803114571746385,358,1.704700579484799,0.7085650723025584
215,42,0,D_boundary_evolution,1,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.009267578125,"[88, 138, 297, 250]",1.8584070796460177,0.328125,0.1765625,1462.0,0.02231728309705771,10,0.7766069546891464,0.7766069546891464,751,1.6181305299280324,0.3851422550052687
215,42,0,D_boundary_evolution,2,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.0064111328125,"[382, 72, 569, 143]",2.611111111111111,0.29375,0.1125,1065.0,0.02909412967736312,2,0.92003046458492,0.92003046458492,561,2.5574652759974708,0.40555978674790555
215,42,0,D_boundary_evolution,3,D_COMPONENT_COUNT,0.00917724609375,"[110, 328, 266, 449]",1.2868852459016393,0.2453125,0.190625,1251.0,0.03018335907732719,12,0.9553072625698324,0.9553072625698324,606,1.2818320746685676,0.33280127693535516
215,42,0,D_boundary_evolution,4,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.00500732421875,"[274, 471, 531, 567]",2.6597938144329896,0.403125,0.1515625,1256.0,0.016337900453650925,17,0.3983422720624086,0.3983422720624086,696,2.4275345680109948,0.6123842028278889
225,42,1,C_crack_like_structural_evolution,1,C_COMPONENT_COUNT,0.0018017578125,"[417, 75, 466, 210]",2.72,0.078125,0.2125,378.0,0.0649056683281338,3,0.9065040650406504,0.9065040650406504,163,8.525729965687763,0.5121951219512195
243,42,1,D_boundary_evolution,1,D_COMPONENT_COUNT,0.00361083984375,"[141, 118, 275, 191]",1.8243243243243243,0.2109375,0.115625,792.0,0.02962972869260346,3,0.9925625422582827,0.9925625422582827,444,2.0330454768608504,0.5354969574036511
255,42,0,D_boundary_evolution,1,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.0048193359375,"[181, 418, 465, 526]",2.614678899082569,0.4453125,0.1703125,1498.0,0.011054354445332988,13,0.8662613981762918,0.8662613981762918,926,2.5334477292870257,0.7588652482269503
26,42,0,D_boundary_evolution,1,D_COMPONENT_COUNT,0.01082763671875,"[0, 289, 278, 422]",2.082089552238806,0.4359375,0.209375,1929.0,0.014977489813921139,4,0.9981961668545659,0.9981961668545659,968,1.967807355576302,0.43494926719278465
265,42,0,D_boundary_evolution,1,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.00568115234375,"[326, 310, 579, 408]",2.5656565656565657,0.396875,0.1546875,1379.0,0.015377216004289871,9,0.39363987967339925,0.39363987967339925,776,2.440686428229429,0.5926085088096261
279,42,1,D_boundary_evolution,1,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.00470703125,"[284, 296, 534, 415]",2.091666666666667,0.3921875,0.1875,1322.0,0.013862896578834896,25,0.4336099585062241,0.4336099585062241,728,1.9254487905439746,0.6856846473029046
279,42,1,D_boundary_evolution,2,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.00494384765625,"[48, 230, 292, 333]",2.355769230769231,0.3828125,0.1625,1282.0,0.015483132886454547,12,0.2958024691358025,0.2958024691358025,708,2.4042644762587986,0.6330864197530864
279,42,1,D_boundary_evolution,3,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.0148974609375,"[222, 75, 543, 204]",2.476923076923077,0.503125,0.203125,1981.0,0.01953948515154943,50,0.8761061946902655,0.8761061946902655,1105,1.9281009945040883,0.3246476565060636
279,42,1,D_boundary_evolution,4,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.008193359375,"[182, 67, 415, 196]",1.8,0.365625,0.203125,1688.0,0.01480085934930615,5,0.7809892729439809,0.7809892729439809,821,1.6714394617289061,0.5029797377830751
