image_stem,seed,edit_count,families,total_refined_area_ratio,min_visible_change_ratio,mean_gray_difference,status
1,42,3,"A_small_low_contrast,D_boundary_evolution,A_small_low_contrast",0.0078466796875,0.8501362397820164,16.993945258384933,PASS
100,42,2,"D_boundary_evolution,B_diffuse_texture",0.08734619140625,0.9792662523900574,31.989111360238226,PASS
1001,42,2,"C_crack_like_structural_evolution,B_diffuse_texture",0.12858154296875002,0.9622186043900522,36.483430133073945,PASS
1003,42,3,"A_small_low_contrast,B_diffuse_texture,A_small_low_contrast",0.09364501953125,0.8789346246973365,8.011204376537306,PASS
1004,42,1,A_small_low_contrast,0.00138916015625,0.9312602291325696,7.996314586994728,PASS
1005,42,2,"C_crack_like_structural_evolution,A_small_low_contrast",0.0036254882812500003,0.8842544316996872,18.465660214448626,PASS
1008,42,3,"A_small_low_contrast,B_diffuse_texture,C_crack_like_structural_evolution",0.17147216796875,0.9734693877551021,17.121577360262048,PASS
101,42,3,"D_boundary_evolution,C_crack_like_structural_evolution,B_diffuse_texture",0.06627685546875,0.9650191072103473,35.98524727850573,PASS
102,42,3,"A_small_low_contrast,B_diffuse_texture,A_small_low_contrast",0.056186523437500004,0.941944847605225,18.68738295707485,PASS
103,42,2,"C_crack_like_structural_evolution,A_small_low_contrast",0.0062719726562499994,0.967966573816156,20.322992952203123,PASS
104,42,2,"B_diffuse_texture,C_crack_like_structural_evolution",0.03224609375,0.9795328489961722,21.562013180342205,PASS
105,42,3,"D_boundary_evolution,D_boundary_evolution,C_crack_like_structural_evolution",0.02016845703125,1.0,28.761939961413688,PASS
1,1,1,A_small_low_contrast,0.00285888671875,0.8610294117647059,7.508966695132366,PASS
100,1,1,C_crack_like_structural_evolution,0.00198974609375,0.9690844233055886,13.001565644171778,PASS
1001,1,1,A_small_low_contrast,0.00186767578125,0.9671302149178256,8.437908496732026,PASS
1003,1,1,B_diffuse_texture,0.08694580078125,0.9590918883981472,38.71301075449976,PASS
1004,1,3,"C_crack_like_structural_evolution,A_small_low_contrast,A_small_low_contrast",0.0043798828124999994,0.9628180039138943,17.436229345806233,PASS
1005,1,2,"C_crack_like_structural_evolution,B_diffuse_texture",0.11990478515625,0.9408311718704292,17.71317844711436,PASS
1008,1,3,"B_diffuse_texture,A_small_low_contrast,B_diffuse_texture",0.16534423828125,0.8149171270718232,30.652771963502545,PASS
101,1,1,C_crack_like_structural_evolution,0.0015625,0.9846153846153847,28.7006171875,PASS
102,1,2,"A_small_low_contrast,B_diffuse_texture",0.0682421875,0.8672566371681416,33.698961085670796,PASS
103,1,3,"B_diffuse_texture,A_small_low_contrast,B_diffuse_texture",0.22618408203124998,0.8506493506493507,26.205989012695294,PASS
104,1,3,"A_small_low_contrast,B_diffuse_texture,B_diffuse_texture",0.28291748046875,0.9407894736842105,29.24637147980414,PASS
105,1,3,"A_small_low_contrast,C_crack_like_structural_evolution,B_diffuse_texture",0.07367919921875,0.8684701492537313,15.605521684843884,PASS
1,0,3,"B_diffuse_texture,B_diffuse_texture,B_diffuse_texture",0.34350341796875,0.9708591113610798,23.796683619025245,PASS
100,0,2,"B_diffuse_texture,D_boundary_evolution",0.09378173828125,0.9769000272405339,49.583611698086486,PASS
1001,0,3,"D_boundary_evolution,C_crack_like_structural_evolution,C_crack_like_structural_evolution",0.01203125,1.0,34.97503479569606,PASS
1003,0,2,"C_crack_like_structural_evolution,A_small_low_contrast",0.00250244140625,0.8502202643171806,14.855931815417541,PASS
1004,0,3,"C_crack_like_structural_evolution,B_diffuse_texture,C_crack_like_structural_evolution",0.037998046875,0.9556749965098422,26.525174671556442,PASS
1005,0,2,"C_crack_like_structural_evolution,A_small_low_contrast",0.005688476562499999,0.9094269870609981,19.48682418146271,PASS
1008,0,1,A_small_low_contrast,0.00189208984375,0.856353591160221,6.285161290322581,PASS
101,0,3,"D_boundary_evolution,B_diffuse_texture,A_small_low_contrast",0.0415283203125,0.9218106995884774,19.88328811276414,PASS
102,0,3,"B_diffuse_texture,C_crack_like_structural_evolution,C_crack_like_structural_evolution",0.15171630859375,0.9641000962463908,35.81642788133067,PASS
103,0,3,"A_small_low_contrast,D_boundary_evolution,B_diffuse_texture",0.13863037109374998,0.9464949309088285,15.399985062860331,PASS
104,0,2,"C_crack_like_structural_evolution,C_crack_like_structural_evolution",0.004267578125,1.0,34.246224695039864,PASS
105,0,3,"A_small_low_contrast,B_diffuse_texture,A_small_low_contrast",0.1190380859375,0.8623548922056384,39.5507765378371,PASS
